,equity
2015-01-02,10000.0
2015-01-05,10052.554639418244
2015-01-06,10137.0227351345
2015-01-07,10131.32225507114
2015-01-08,10072.424214267701
2015-01-09,10128.537753757459
2015-01-12,10161.735489253379
2015-01-13,10166.8593371801
2015-01-14,10210.187518205768
2015-01-15,10298.011101262531
2015-01-16,10225.712522842725
2015-01-20,10277.215721030823
2015-01-21,10221.321156471548
2015-01-22,10199.402956055941
2015-01-23,10270.565409634506
2015-01-26,10250.299205916268
2015-01-27,10262.353876354131
2015-01-28,10347.028290036904
2015-01-29,10310.879935284876
2015-01-30,10406.004701445521
2015-02-02,10387.46449117088
2015-02-03,10282.112273279565
2015-02-04,10294.02019722536
2015-02-05,10242.591080712033
2015-02-06,10135.918842199471
2015-02-09,10128.536917327734
2015-02-10,10092.429428614816
2015-02-11,10097.80029431693
2015-02-12,10089.107903242922
2015-02-13,10043.317145517494
2015-02-17,9967.591575252634
2015-02-18,10007.178427013261
2015-02-19,9974.727115039628
2015-02-20,9982.212703511283
2015-02-23,10037.206900394505
2015-02-24,10106.074675227661
2015-02-25,10123.748532331394
2015-02-26,10054.421078437888
2015-02-27,10095.6608778642
2015-03-02,10005.184070120398
2015-03-03,9985.113197205086
2015-03-04,9989.452289019995
2015-03-05,9988.298170574048
2015-03-06,9877.15252120982
2015-03-09,9924.396701858586
2015-03-10,9982.751707485022
2015-03-11,10012.931626170546
2015-03-12,10014.491790413475
2015-03-13,9999.641555179533
2015-03-16,10043.699661567134
2015-03-17,10077.53348407035
2015-03-18,10188.874357278552
2015-03-19,10151.18238088401
2015-03-20,10185.229344166657
2015-03-23,10186.688052448819
2015-03-24,10231.049552464345
2015-03-25,10186.715209665965
2015-03-26,10113.050474359436
2015-03-27,10170.112439174733
2015-03-30,10152.591424600612
2015-03-31,10171.410029258286
2015-04-01,10233.55580897231
2015-04-02,10187.288270612735
2015-04-06,10182.088285324879
2015-04-07,10174.900230833908
2015-04-08,10174.900230833908
2015-04-09,10171.298334276342
2015-04-10,10168.90381502927
2015-04-13,10168.934057419872
2015-04-14,10204.571125633207
2015-04-15,10203.586886416677
2015-04-16,10190.767463738994
2015-04-17,10234.984318015331
2015-04-20,10198.215494591843
2015-04-21,10176.032186006183
2015-04-22,10101.766576583299
2015-04-23,10128.158841375101
2015-04-24,10162.251171839527
2015-04-27,10156.554422675352
2015-04-28,10092.665168468107
2015-04-29,10039.363768891373
2015-04-30,10043.893632050233
2015-05-01,9979.13815060115
2015-05-04,9940.904344380693
2015-05-05,9929.933449503924
2015-05-06,9855.915483919727
2015-05-07,9912.863969689515
2015-05-08,9939.213093352291
2015-05-11,9822.901968244081
2015-05-12,9834.25828167485
2015-05-13,9805.204057397166
2015-05-14,9828.231323082045
2015-05-15,9917.414408565799
2015-05-18,9837.69961898292
2015-05-19,9792.152208243942
2015-05-20,9805.929352296072
2015-05-21,9872.271109430258
2015-05-22,9863.887133593826
2015-05-26,9940.97319368908
2015-05-27,9947.07549636193
2015-05-28,9943.645813348156
2015-05-29,9953.595145538104
2015-06-01,9960.31156215605
2015-06-02,9927.111477512615
2015-06-03,9931.338683327978
2015-06-04,9886.353600898685
2015-06-05,9862.675937367934
2015-06-08,9846.411374817431
2015-06-09,9833.299892559431
2015-06-10,9860.279670550612
2015-06-11,9909.411552233381
2015-06-12,9865.979204102221
2015-06-15,9879.370556310323
2015-06-16,9909.456270024391
2015-06-17,9916.76361494756
2015-06-18,9961.768482053538
2015-06-19,9977.644052409367
2015-06-22,10004.174431456033
2015-06-23,10006.732181875295
2015-06-24,9950.47287477931
2015-06-25,9960.815480831072
2015-06-26,9960.554963464632
2015-06-29,9916.751295265916
2015-06-30,9919.241265137585
2015-07-01,9934.710792029677
2015-07-02,9936.124636116823
2015-07-06,9925.208653332433
2015-07-07,9924.04913116458
2015-07-08,9934.565854887176
2015-07-09,9927.549596103792
2015-07-10,9918.197869157962
2015-07-13,9954.706466657582
2015-07-14,9996.680868459522
2015-07-15,9999.799368725908
2015-07-16,10035.49551030982
2015-07-17,10020.144900735166
2015-07-20,10030.626114280562
2015-07-21,10001.095508808892
2015-07-22,10012.884431195995
2015-07-23,9980.316175025908
2015-07-24,9885.847083329547
2015-07-27,9876.308640623056
2015-07-28,9969.371929138191
2015-07-29,9996.646603112556
2015-07-30,9991.862022260177
2015-07-31,10020.211899486854
2015-08-03,10053.234839107605
2015-08-04,10004.230922796285
2015-08-05,9966.701851167496
2015-08-06,10008.617776821799
2015-08-07,10064.024555581327
2015-08-10,10039.561880601312
2015-08-11,10076.396736293911
2015-08-12,10064.259757788204
2015-08-13,10042.735964293712
2015-08-14,10050.933308982236
2015-08-17,10091.146587256742
2015-08-18,10065.097467387393
2015-08-19,10095.924530949758
2015-08-20,10070.28117338325
2015-08-21,10018.19326127136
2015-08-24,10019.617174544395
2015-08-25,9946.113145828149
2015-08-26,9859.75471869825
2015-08-27,9860.183231920675
2015-08-28,9868.949507001149
2015-08-31,9836.95683399445
2015-09-01,9876.472431390575
2015-09-02,9839.97441833279
2015-09-03,9863.984367110954
2015-09-04,9904.566146142437
2015-09-08,9840.182718909731
2015-09-09,9856.380035866718
2015-09-10,9827.958902037204
2015-09-11,9858.389573437087
2015-09-14,9865.836486837685
2015-09-15,9772.263595934839
2015-09-16,9758.667216643085
2015-09-17,9832.722046120232
2015-09-18,9900.054400195952
2015-09-21,9825.545431848288
2015-09-22,9889.301941097781
2015-09-23,9884.170371277058
2015-09-24,9913.498340498138
2015-09-25,9874.730665650375
2015-09-28,9952.179481038826
2015-09-29,9974.555786607567
2015-09-30,9964.421958504356
2015-10-01,9981.18177467592
