year,return,SPY,QQQ,6040,beats_spy,beats_qqq,beats_6040,strategy
2015,-1.1,1.29,9.77,-0.37,False,False,False,M1_RULE_META_BASE
2016,30.16,13.59,9.41,8.33,True,True,True,M1_RULE_META_BASE
2017,22.71,20.78,31.49,15.96,True,False,True,M1_RULE_META_BASE
2018,5.52,-5.25,-1.85,-3.36,True,True,True,M1_RULE_META_BASE
2019,26.79,31.09,38.41,24.06,False,False,True,M1_RULE_META_BASE
2020,32.16,17.24,45.97,17.07,True,False,True,M1_RULE_META_BASE
2021,36.76,30.51,29.24,16.51,True,True,True,M1_RULE_META_BASE
2022,-26.56,-18.65,-33.22,-22.94,False,True,False,M1_RULE_META_BASE
2023,28.52,26.71,55.91,16.36,True,False,True,M1_RULE_META_BASE
2024,24.49,25.59,27.74,12.35,False,False,True,M1_RULE_META_BASE
2025,13.32,18.01,21.01,12.39,False,False,True,M1_RULE_META_BASE
2026,6.93,10.62,18.25,5.93,False,False,True,M1_RULE_META_BASE
2015,-1.36,1.29,9.77,-0.37,False,False,False,M2_RULE_META_MORE_AGGRESSIVE
2016,29.91,13.59,9.41,8.33,True,True,True,M2_RULE_META_MORE_AGGRESSIVE
2017,23.82,20.78,31.49,15.96,True,False,True,M2_RULE_META_MORE_AGGRESSIVE
2018,5.42,-5.25,-1.85,-3.36,True,True,True,M2_RULE_META_MORE_AGGRESSIVE
2019,26.48,31.09,38.41,24.06,False,False,True,M2_RULE_META_MORE_AGGRESSIVE
2020,32.49,17.24,45.97,17.07,True,False,True,M2_RULE_META_MORE_AGGRESSIVE
2021,37.04,30.51,29.24,16.51,True,True,True,M2_RULE_META_MORE_AGGRESSIVE
2022,-26.84,-18.65,-33.22,-22.94,False,True,False,M2_RULE_META_MORE_AGGRESSIVE
2023,30.22,26.71,55.91,16.36,True,False,True,M2_RULE_META_MORE_AGGRESSIVE
2024,24.82,25.59,27.74,12.35,False,False,True,M2_RULE_META_MORE_AGGRESSIVE
2025,13.69,18.01,21.01,12.39,False,False,True,M2_RULE_META_MORE_AGGRESSIVE
2026,7.38,10.62,18.25,5.93,False,False,True,M2_RULE_META_MORE_AGGRESSIVE
2015,-2.1,1.29,9.77,-0.37,False,False,False,M3_RULE_META_MORE_DEFENSIVE
2016,30.84,13.59,9.41,8.33,True,True,True,M3_RULE_META_MORE_DEFENSIVE
2017,22.71,20.78,31.49,15.96,True,False,True,M3_RULE_META_MORE_DEFENSIVE
2018,6.54,-5.25,-1.85,-3.36,True,True,True,M3_RULE_META_MORE_DEFENSIVE
2019,26.66,31.09,38.41,24.06,False,False,True,M3_RULE_META_MORE_DEFENSIVE
2020,32.21,17.24,45.97,17.07,True,False,True,M3_RULE_META_MORE_DEFENSIVE
2021,36.76,30.51,29.24,16.51,True,True,True,M3_RULE_META_MORE_DEFENSIVE
2022,-25.54,-18.65,-33.22,-22.94,False,True,False,M3_RULE_META_MORE_DEFENSIVE
2023,26.68,26.71,55.91,16.36,False,False,True,M3_RULE_META_MORE_DEFENSIVE
2024,24.49,25.59,27.74,12.35,False,False,True,M3_RULE_META_MORE_DEFENSIVE
