,equity
2015-01-02,10000.0
2015-01-05,10038.98590638114
2015-01-06,10112.578545993361
2015-01-07,10116.526118349204
2015-01-08,10075.927391260568
2015-01-09,10124.515386248244
2015-01-12,10152.611163487914
2015-01-13,10154.5419218624
2015-01-14,10189.823591939017
2015-01-15,10270.712076717407
2015-01-16,10218.45541738909
2015-01-20,10270.646702634698
2015-01-21,10223.184487628521
2015-01-22,10217.430188837627
2015-01-23,10276.296526088518
2015-01-26,10256.89726482073
2015-01-27,10262.19555356542
2015-01-28,10327.224276814164
2015-01-29,10295.364431656988
2015-01-30,10374.361007301268
2015-02-02,10362.947563001428
2015-02-03,10274.54190000235
2015-02-04,10284.361675497628
2015-02-05,10246.484689223236
2015-02-06,10138.405240041297
2015-02-09,10128.806996403277
2015-02-10,10103.715001423983
2015-02-11,10107.147972510527
2015-02-12,10105.191934108096
2015-02-13,10066.838889794983
2015-02-17,9989.698315305182
2015-02-18,10018.274475472803
2015-02-19,9997.086121874472
2015-02-20,9984.874845104707
2015-02-23,10005.47624334516
2015-02-24,10024.917031528379
2015-02-25,10038.18960758556
2015-02-26,10026.912917577672
2015-02-27,10038.411777496593
2015-03-02,10006.394329378087
2015-03-03,9988.88824784087
2015-03-04,9979.165884655687
2015-03-05,9981.367287781868
2015-03-06,9849.892780640106
2015-03-09,9872.819111655803
2015-03-10,9856.886051626816
2015-03-11,9842.176187367872
2015-03-12,9856.9958975177
2015-03-13,9852.163984791105
2015-03-16,9874.832078601063
2015-03-17,9862.010592492652
2015-03-18,9972.411021045778
2015-03-19,9950.23325232399
2015-03-20,10006.607722091969
2015-03-23,10028.780990898022
2015-03-24,10040.834944725257
2015-03-25,10015.289991723474
2015-03-26,10014.83503802402
2015-03-27,10022.109995012413
2015-03-30,9998.061263622212
2015-03-31,9996.897092556395
2015-04-01,10058.932059154962
2015-04-02,10044.295509664997
2015-04-06,10093.326121556212
2015-04-07,10076.36214922476
2015-04-08,10060.174774466357
2015-04-09,10029.157819617065
2015-04-10,10066.32869936984
2015-04-13,10047.924153653488
2015-04-14,10040.915603491056
2015-04-15,10071.552141304248
2015-04-16,10064.49902894811
2015-04-17,10072.90826322793
2015-04-20,10053.570179193066
2015-04-21,10065.3326131103
2015-04-22,10008.670611141648
2015-04-23,10043.753106577577
2015-04-24,10014.90569155215
2015-04-27,10064.124747030844
2015-04-28,10077.734381956563
2015-04-29,10039.441104332052
2015-04-30,9974.347379458952
2015-05-01,9957.653256900356
2015-05-04,9981.1535063577
2015-05-05,9971.42847170434
2015-05-06,9950.665036572167
2015-05-07,9943.682787239957
2015-05-08,9986.29246040962
2015-05-11,9937.996447959124
2015-05-12,9963.273932699858
2015-05-13,10014.362364403545
2015-05-14,10055.80686471131
2015-05-15,10088.64344957445
2015-05-18,10069.492701793833
2015-05-19,10012.457650977
2015-05-20,10024.50652410242
2015-05-21,10034.57778498673
2015-05-22,10021.127464403284
2015-05-26,9986.369846123085
2015-05-27,9994.230832267778
2015-05-28,10000.798696300002
2015-05-29,10000.162627576943
2015-06-01,9984.265139306774
2015-06-02,9972.25711730371
2015-06-03,9925.564243031482
2015-06-04,9911.852088519754
2015-06-05,9868.271961359911
2015-06-08,9877.563138139878
2015-06-09,9872.773759173484
2015-06-10,9896.69694467924
2015-06-11,9910.957344222106
2015-06-12,9901.434712572709
2015-06-15,9919.635771492043
2015-06-16,9927.494808726522
2015-06-17,9947.486107197823
2015-06-18,9996.153247209359
2015-06-19,10004.512452332943
2015-06-22,9942.729748184905
2015-06-23,9913.785763247282
2015-06-24,9908.397910653055
2015-06-25,9896.459302302732
2015-06-26,9883.26783604317
2015-06-29,9917.405825547597
2015-06-30,9892.787553269038
2015-07-01,9874.11753077461
2015-07-02,9882.558672679963
2015-07-06,9910.793352177416
2015-07-07,9891.149026605182
2015-07-08,9901.047956559018
2015-07-09,9887.393687050635
2015-07-10,9880.252108995424
2015-07-13,9867.076336137463
2015-07-14,9875.187622615353
2015-07-15,9871.066346616206
2015-07-16,9864.444446706968
2015-07-17,9833.671686030513
2015-07-20,9747.3241241526
2015-07-21,9742.028863003485
2015-07-22,9729.506845184002
2015-07-23,9723.20833612571
2015-07-24,9749.891878542416
2015-07-27,9742.752641827034
2015-07-28,9749.795041066312
2015-07-29,9755.675413000467
2015-07-30,9732.498819066537
2015-07-31,9771.281974362448
2015-08-03,9756.858044964025
2015-08-04,9741.07972894116
2015-08-05,9723.804358652898
2015-08-06,9737.230789841924
2015-08-07,9753.777397573323
2015-08-10,9780.248516605528
2015-08-11,9812.828497604538
2015-08-12,9853.295504168302
2015-08-13,9819.52362311364
2015-08-14,9818.362645859997
2015-08-17,9839.617127348118
2015-08-18,9832.533197736606
2015-08-19,9887.980577652492
2015-08-20,9926.922455954882
2015-08-21,9931.132845450356
2015-08-24,9881.965169304594
2015-08-25,9817.211251573579
2015-08-26,9792.623433387926
2015-08-27,9815.026662266306
2015-08-28,9839.795274463466
2015-08-31,9827.541578558907
2015-09-01,9825.693998479464
