signal_date,exec_date,regime,stress_level,equity,w_SHY,w_IEF,w_TLT,w_SPY,w_MTUM,w_USMV,w_GLD,w_MSFT,w_NVDA,w_XLK,w_AAPL,w_QQQ,w_IWM,w_XLF
2015-01-02,2015-01-05,mixed,low_stress,9980.0,0.3,0.3,0.3,0.025,0.025,0.025,0.025,,,,,,,
2015-01-09,2015-01-12,mixed,low_stress,10065.026935691894,0.3,0.3,0.3,0.025,0.025,0.025,0.025,,,,,,,
2015-01-16,2015-01-20,mixed,low_stress,10130.303166447115,0.3,0.3,0.3,0.025,0.025,0.025,0.025,,,,,,,
2015-01-23,2015-01-26,mixed,low_stress,10135.875787731946,0.3,0.3,0.3,0.025,0.025,0.025,0.025,,,,,,,
2015-01-30,2015-02-02,mixed,low_stress,10251.953571549515,0.3,0.3,0.3,0.025,0.025,0.025,0.025,,,,,,,
2015-02-06,2015-02-09,mixed,low_stress,10029.816244708843,0.3,0.3,0.3,0.025,0.025,0.025,0.025,,,,,,,
2015-02-13,2015-02-17,mixed,low_stress,9962.47269190013,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-02-20,2015-02-23,mixed,low_stress,9957.662367440302,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-02-27,2015-03-02,mixed,low_stress,9990.440510228798,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-03-06,2015-03-09,mixed,low_stress,9834.188481679905,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-03-13,2015-03-16,mixed,low_stress,9813.614174746574,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-03-20,2015-03-23,mixed,low_stress,9944.572890049803,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-03-27,2015-03-30,mixed,low_stress,9937.957908139855,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-04-02,2015-04-06,mixed,low_stress,9983.914216965402,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-04-10,2015-04-13,mixed,low_stress,9957.209447502712,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-04-17,2015-04-20,mixed,low_stress,9981.967995446326,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-04-24,2015-04-27,mixed,low_stress,9943.578878812845,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-05-01,2015-05-04,mixed,low_stress,9838.382680726208,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-05-08,2015-05-11,mixed,low_stress,9843.4481269704,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-05-15,2015-05-18,mixed,low_stress,9992.661899952642,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-05-22,2015-05-26,mixed,low_stress,9944.665692073311,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-05-29,2015-06-01,mixed,low_stress,9958.400873389042,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-06-05,2015-06-08,mixed,low_stress,9842.708176084188,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-06-12,2015-06-15,mixed,low_stress,9866.495514880211,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-06-19,2015-06-22,mixed,low_stress,9950.917504772353,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
