,equity
0,10000.0
1,9713.704524366754
2,9985.180576225464
3,9805.522275575322
4,10190.90049367112
5,10528.59876079616
6,10553.726913857316
7,10623.48393678514
8,10536.31659651761
9,10390.597622338919
10,10683.211729666127
11,10376.548860174295
12,10440.101770543537
13,10261.18081834551
14,10446.334384541397
15,10398.316484371753
16,10373.487062890821
17,10466.887925389787
18,10472.069829591961
19,10562.085587011909
20,10510.116242174254
21,10510.716620248031
22,10728.686383505612
23,10617.435342007657
24,10488.10117790347
25,10799.027599006324
26,10548.938282079513
27,10693.661662494662
28,10708.107059121392
29,10743.754867714262
30,10053.61619064141
31,11139.19737049073
32,10816.91533554711
33,11001.259611371117
34,11018.242045671997
35,10847.537319054414
36,11092.244820936308
37,11319.95839855966
38,11486.829222849407
39,11925.692995660062
40,11992.900712224373
41,12381.226859163382
42,11862.708770162753
43,12430.28659598592
44,12472.283156695637
45,12710.942949460872
46,12319.747369028626
47,12381.616804413716
48,11555.383342902418
49,11203.238356862797
50,11255.649159423638
51,11634.707418750779
52,11045.953862033473
53,11080.784866061382
54,11306.236012155094
55,11446.586672237094
56,11864.579274121077
57,12116.468946264087
58,12413.88787538081
59,12717.377210581153
60,12487.670212162138
61,12736.397675425234
62,13183.154210159844
63,12977.690884421449
64,12942.88775926427
65,13037.34828634963
66,13314.070166992644
67,13795.998658335098
68,13685.373623429788
69,13640.451809013337
70,13717.944696804809
71,13315.9703433069
72,13812.860657816023
73,14163.846544741198
74,14339.3242343205
75,14617.824287580508
76,14894.813663955718
77,15057.284690130859
78,15155.678124863754
79,15221.568035978515
80,15159.891834953787
81,15132.779182315931
82,14593.886565305116
83,14971.700766157353
84,15096.556276091893
85,15400.016907112431
86,15391.652628110362
87,15201.074338040022
88,15368.83488307314
89,15296.355317022206
90,14829.384466072821
91,15319.971165230558
92,15737.23960969962
93,15857.690560959796
94,15722.342691746258
95,16383.303336941599
96,16702.398777575854
97,16900.621607412697
98,16615.083531050797
99,16738.416423883453
100,16782.563981889678
101,16752.516760716746
102,17232.51094899651
103,17499.417272552706
104,17754.52671101605
105,17848.001889629915
106,17912.324960467842
107,17969.491384068628
108,18153.741906951414
109,18123.95086810361
110,17914.628326935992
111,18408.179338143396
112,18259.29624848492
113,18182.351506137988
114,18424.628576127616
115,18265.633853751962
116,18734.27812497825
117,18682.351373789206
118,18878.59007265246
119,19005.946451295476
120,19231.837537922474
121,19146.538941439623
122,19340.374116859017
123,18916.36959601167
124,19028.084380194963
125,19482.629803063548
126,19555.23379661616
127,19619.6815720594
128,19653.30237333068
129,19246.1338145447
130,18969.017449773855
131,19010.030744113057
132,19392.756758002568
133,19247.83721608381
134,19551.54992160024
135,19457.712275400012
136,19677.178668180684
137,19872.643190319755
138,20206.916212766326
139,20359.94619068435
140,20576.525389888528
141,20909.605666039613
142,20828.07994898013
143,20921.40530761831
144,21225.60572075081
145,21306.767764162323
146,21037.08926992576
147,21262.129075941666
148,21205.166016201274
149,21148.188045079576
150,22004.392094927087
151,22300.48564835553
152,22462.706857231253
153,23045.867412055046
154,22135.72435190146
155,21332.780088790172
156,22091.976056388015
157,22412.585622331808
158,21883.69650995938
159,22596.854582604155
160,22386.094079315404
161,21096.03438191626
162,20648.732794006606
163,21147.444211800965
164,21222.93390321417
