test_type,param,CAGR,sharpe,max_drawdown,n_weeks
start_date,2015-01-01,31.05,1.561,-23.05,576
start_date,2018-01-01,30.96,1.491,-23.05,425
cost,0.0005,27.7,1.42,-23.52,576
cost,0.001,24.43,1.279,-23.99,576
cost,0.002,18.15,0.997,-24.92,576
cost,0.003,12.18,0.715,-25.84,576
universe,all_stocks,31.05,1.561,-23.05,576
universe,top150_liq,31.05,1.561,-23.05,576
universe,ex_mega_tech,23.48,1.302,-20.02,576
rebalance,weekly,31.05,1.561,-23.05,576
rebalance,biweekly,66.74,2.045,-22.09,288
rebalance,monthly,191.59,2.851,-24.3,144
leave_one_out,top_ticker,30.89,1.554,-22.51,576
leave_one_out,top_sector,19.13,1.173,-15.78,576
