train_start,train_end,purged_until,embargo_until,test_start,test_end,n_train,n_test
2015-01-02,2016-11-04,2016-12-12,2016-12-12,2017-01-01,2017-12-31,1472,816
2015-01-02,2017-11-03,2017-12-12,2017-12-12,2018-01-01,2018-12-31,2288,816
2015-01-02,2018-11-02,2018-12-12,2018-12-12,2019-01-01,2019-12-31,3104,816
2015-01-02,2019-11-08,2019-12-12,2019-12-12,2020-01-01,2020-12-31,3936,784
2015-01-02,2020-11-06,2020-12-12,2020-12-12,2021-01-01,2021-12-31,4736,800
2015-01-02,2021-11-05,2021-12-12,2021-12-12,2022-01-01,2022-12-31,5520,816
2015-01-02,2022-11-04,2022-12-12,2022-12-12,2023-01-01,2023-12-31,6320,816
2015-01-02,2023-11-03,2023-12-12,2023-12-12,2024-01-01,2024-12-31,7136,816
2015-01-02,2024-11-08,2024-12-12,2024-12-12,2025-01-01,2025-12-31,7968,800
2015-01-02,2025-11-07,2025-12-12,2025-12-12,2026-01-01,2026-12-31,8768,352
