strategy,date,equity
B0,2015-08-03,9980.0
B0,2015-08-04,9920.594974579455
B0,2015-08-05,10020.701205631947
B0,2015-08-06,9940.32092123387
B0,2015-08-07,9945.70738489739
B0,2015-08-10,10041.908085122435
B0,2015-08-11,9977.02949416787
B0,2015-08-12,10009.670196049316
B0,2015-08-13,9937.987472138702
B0,2015-08-14,9983.680946202061
B0,2015-08-17,10002.53842012785
B0,2015-08-18,9961.554018879506
B0,2015-08-19,9877.237005859228
B0,2015-08-20,9633.27318834204
B0,2015-08-21,9303.754839889903
B0,2015-08-24,8926.886511870962
B0,2015-08-25,8822.794175666753
B0,2015-08-26,9282.959560352103
B0,2015-08-27,9596.86620242588
B0,2015-08-28,9631.901190032246
B0,2015-08-31,9557.644116104744
B0,2015-09-01,9219.859798637643
B0,2015-09-02,9441.553536741088
B0,2015-09-03,9426.491497300554
B0,2015-09-04,9299.52448722227
B0,2015-09-08,9576.454401512823
B0,2015-09-09,9447.58637254399
B0,2015-09-10,9519.114953761366
B0,2015-09-11,9638.327941381593
B0,2015-09-14,9559.110316006336
B0,2015-09-15,9691.504106059709
B0,2015-09-16,9766.835579845314
B0,2015-09-17,9799.296993330543
B0,2015-09-18,9669.90741801351
B0,2015-09-21,9725.132188788872
B0,2015-09-22,9587.550504946252
B0,2015-09-23,9590.287130954306
B0,2015-09-24,9585.549316071792
B0,2015-09-25,9569.381860538095
B0,2015-09-28,9325.473808429186
B0,2015-09-29,9305.061885066149
B0,2015-09-30,9541.689663250752
B0,2015-10-01,9550.048599804126
B0,2015-10-02,9724.990074644087
B0,2015-10-05,9840.686335831855
B0,2015-10-06,9822.318337020426
B0,2015-10-07,9872.152909285134
B0,2015-10-08,9913.731284530808
B0,2015-10-09,9974.6102339846
B0,2015-10-12,9935.414085874418
B0,2015-10-13,9930.40083725687
B0,2015-10-14,9887.627688852148
B0,2015-10-15,10030.194609188144
B0,2015-10-16,10073.009657767898
B0,2015-10-19,10079.004431065043
B0,2015-10-20,10046.164389248604
B0,2015-10-21,10003.414996040043
B0,2015-10-22,10168.039686881713
B0,2015-10-23,10415.24612325246
B0,2015-10-26,10371.55550594332
B0,2015-10-27,10365.780000797056
B0,2015-10-28,10553.289797621057
B0,2015-10-29,10487.067860823718
B0,2015-10-30,10443.982299036337
B0,2015-11-02,10604.209185399923
B0,2015-11-03,10666.977085114491
B0,2015-11-04,10626.622619957167
B0,2015-11-05,10648.165543051915
B0,2015-11-06,10810.932430478537
B0,2015-11-09,10679.363238038735
B0,2015-11-10,10638.40414404696
B0,2015-11-11,10638.196421483599
B0,2015-11-12,10497.060961518424
B0,2015-11-13,10324.323951582652
B0,2015-11-16,10521.122875184898
B0,2015-11-17,10533.808308587908
B0,2015-11-18,10799.12474261724
B0,2015-11-19,10750.689204460423
B0,2015-11-20,10817.090493634376
B0,2015-11-23,10794.757149438503
B0,2015-11-24,10856.472542438494
B0,2015-11-25,10858.90560381345
B0,2015-11-27,10862.050992508326
B0,2015-11-30,10824.06529460289
B0,2015-12-01,11004.012053836428
B0,2015-12-02,10895.0955250675
B0,2015-12-03,10848.585408150318
B0,2015-12-04,11093.14371589073
B0,2015-12-07,11034.817491635393
