date,strategy,selected_tickers,weights_hash,score_column,n_holdings
2015-07-31,B0_EQUAL_WEIGHT,"AAPL,AMD,AMZN,AVGO,BAC,COST,CVX,GOOGL,JPM,LLY,META,MSFT,NVDA,UNH,WMT,XOM",bc9a8fdd6cab,equal,16
2016-09-30,B0_EQUAL_WEIGHT,"AAPL,AMD,AMZN,AVGO,BAC,COST,CVX,GOOGL,JPM,LLY,META,MSFT,NVDA,UNH,WMT,XOM",bc9a8fdd6cab,equal,16
2017-03-31,B0_EQUAL_WEIGHT,"AAPL,AMD,AMZN,AVGO,BAC,COST,CVX,GOOGL,JPM,LLY,META,MSFT,NVDA,UNH,WMT,XOM",bc9a8fdd6cab,equal,16
2017-06-30,B0_EQUAL_WEIGHT,"AAPL,AMD,AMZN,AVGO,BAC,COST,CVX,GOOGL,JPM,LLY,META,MSFT,NVDA,UNH,WMT,XOM",bc9a8fdd6cab,equal,16
2018-08-31,B0_EQUAL_WEIGHT,"AAPL,AMD,AMZN,AVGO,BAC,COST,CVX,GOOGL,JPM,LLY,META,MSFT,NVDA,UNH,WMT,XOM",bc9a8fdd6cab,equal,16
2018-11-30,B0_EQUAL_WEIGHT,"AAPL,AMD,AMZN,AVGO,BAC,COST,CVX,GOOGL,JPM,LLY,META,MSFT,NVDA,UNH,WMT,XOM",bc9a8fdd6cab,equal,16
2019-05-31,B0_EQUAL_WEIGHT,"AAPL,AMD,AMZN,AVGO,BAC,COST,CVX,GOOGL,JPM,LLY,META,MSFT,NVDA,UNH,WMT,XOM",bc9a8fdd6cab,equal,16
2020-01-31,B0_EQUAL_WEIGHT,"AAPL,AMD,AMZN,AVGO,BAC,COST,CVX,GOOGL,JPM,LLY,META,MSFT,NVDA,UNH,WMT,XOM",bc9a8fdd6cab,equal,16
2020-07-31,B0_EQUAL_WEIGHT,"AAPL,AMD,AMZN,AVGO,BAC,COST,CVX,GOOGL,JPM,LLY,META,MSFT,NVDA,UNH,WMT,XOM",bc9a8fdd6cab,equal,16
2021-04-30,B0_EQUAL_WEIGHT,"AAPL,AMD,AMZN,AVGO,BAC,COST,CVX,GOOGL,JPM,LLY,META,MSFT,NVDA,UNH,WMT,XOM",bc9a8fdd6cab,equal,16
2021-12-31,B0_EQUAL_WEIGHT,"AAPL,AMD,AMZN,AVGO,BAC,COST,CVX,GOOGL,JPM,LLY,META,MSFT,NVDA,UNH,WMT,XOM",bc9a8fdd6cab,equal,16
2022-09-30,B0_EQUAL_WEIGHT,"AAPL,AMD,AMZN,AVGO,BAC,COST,CVX,GOOGL,JPM,LLY,META,MSFT,NVDA,UNH,WMT,XOM",bc9a8fdd6cab,equal,16
2023-03-31,B0_EQUAL_WEIGHT,"AAPL,AMD,AMZN,AVGO,BAC,COST,CVX,GOOGL,JPM,LLY,META,MSFT,NVDA,UNH,WMT,XOM",bc9a8fdd6cab,equal,16
2023-06-30,B0_EQUAL_WEIGHT,"AAPL,AMD,AMZN,AVGO,BAC,COST,CVX,GOOGL,JPM,LLY,META,MSFT,NVDA,UNH,WMT,XOM",bc9a8fdd6cab,equal,16
2024-05-31,B0_EQUAL_WEIGHT,"AAPL,AMD,AMZN,AVGO,BAC,COST,CVX,GOOGL,JPM,LLY,META,MSFT,NVDA,UNH,WMT,XOM",bc9a8fdd6cab,equal,16
2025-01-31,B0_EQUAL_WEIGHT,"AAPL,AMD,AMZN,AVGO,BAC,COST,CVX,GOOGL,JPM,LLY,META,MSFT,NVDA,UNH,WMT,XOM",bc9a8fdd6cab,equal,16
2025-02-28,B0_EQUAL_WEIGHT,"AAPL,AMD,AMZN,AVGO,BAC,COST,CVX,GOOGL,JPM,LLY,META,MSFT,NVDA,UNH,WMT,XOM",bc9a8fdd6cab,equal,16
2025-10-31,B0_EQUAL_WEIGHT,"AAPL,AMD,AMZN,AVGO,BAC,COST,CVX,GOOGL,JPM,LLY,META,MSFT,NVDA,UNH,WMT,XOM",bc9a8fdd6cab,equal,16
2015-07-31,B1_SECTOR_NEUTRAL_MOMENTUM,"AAPL,AMD,BAC,COST,CVX,LLY",9248ca4e0ede,mom_12_1,6
2016-09-30,B1_SECTOR_NEUTRAL_MOMENTUM,"AMD,CVX,JPM,NVDA,UNH,WMT",493f6e1a4f00,mom_12_1,6
2017-03-31,B1_SECTOR_NEUTRAL_MOMENTUM,"AMD,BAC,COST,CVX,NVDA,UNH",3e4f6e50208f,mom_12_1,6
2017-06-30,B1_SECTOR_NEUTRAL_MOMENTUM,"AMD,BAC,COST,CVX,NVDA,UNH",3e4f6e50208f,mom_12_1,6
2018-08-31,B1_SECTOR_NEUTRAL_MOMENTUM,"AMZN,BAC,COST,CVX,NVDA,UNH",faca81949d1f,mom_12_1,6
2018-11-30,B1_SECTOR_NEUTRAL_MOMENTUM,"AMD,AMZN,COST,JPM,LLY,XOM",9eb91225b340,mom_12_1,6
2019-05-31,B1_SECTOR_NEUTRAL_MOMENTUM,"AMD,AVGO,JPM,LLY,WMT,XOM",7fb9b8880b59,mom_12_1,6
2020-01-31,B1_SECTOR_NEUTRAL_MOMENTUM,"AAPL,AMD,COST,CVX,JPM,LLY",9a73d1dfda89,mom_12_1,6
2020-07-31,B1_SECTOR_NEUTRAL_MOMENTUM,"AAPL,COST,CVX,JPM,LLY,NVDA",e5a1dff118e0,mom_12_1,6
2021-04-30,B1_SECTOR_NEUTRAL_MOMENTUM,"AVGO,BAC,COST,NVDA,UNH,XOM",141fd140e930,mom_12_1,6
2021-12-31,B1_SECTOR_NEUTRAL_MOMENTUM,"BAC,COST,GOOGL,LLY,NVDA,XOM",e9cd6844c575,mom_12_1,6
2022-09-30,B1_SECTOR_NEUTRAL_MOMENTUM,"AAPL,AVGO,BAC,COST,LLY,XOM",f5879105ec3b,mom_12_1,6
2023-03-31,B1_SECTOR_NEUTRAL_MOMENTUM,"AAPL,AVGO,JPM,LLY,WMT,XOM",3d775a8e5ada,mom_12_1,6
2023-06-30,B1_SECTOR_NEUTRAL_MOMENTUM,"AVGO,JPM,LLY,NVDA,WMT,XOM",aa7b1ab77b29,mom_12_1,6
2024-05-31,B1_SECTOR_NEUTRAL_MOMENTUM,"COST,JPM,LLY,META,NVDA,XOM",d54e2adfce11,mom_12_1,6
2025-01-31,B1_SECTOR_NEUTRAL_MOMENTUM,"AVGO,JPM,LLY,NVDA,WMT,XOM",aa7b1ab77b29,mom_12_1,6
2025-02-28,B1_SECTOR_NEUTRAL_MOMENTUM,"AVGO,JPM,LLY,NVDA,WMT,XOM",aa7b1ab77b29,mom_12_1,6
2025-10-31,B1_SECTOR_NEUTRAL_MOMENTUM,"AVGO,CVX,GOOGL,JPM,LLY,WMT",6ef3c3888227,mom_12_1,6
2015-01-02,B2_MOMENTUM_TREND,"AAPL,AMD,AMZN",c317873b15a3,rank_mom_60,3
2015-01-09,B2_MOMENTUM_TREND,"AAPL,AMD,AMZN",c317873b15a3,rank_mom_60,3
2015-01-16,B2_MOMENTUM_TREND,"AAPL,AMD,AMZN",c317873b15a3,rank_mom_60,3
2015-01-23,B2_MOMENTUM_TREND,"AAPL,AMD,AMZN",c317873b15a3,rank_mom_60,3
2015-01-30,B2_MOMENTUM_TREND,"AAPL,AMD,AMZN",c317873b15a3,rank_mom_60,3
2015-02-06,B2_MOMENTUM_TREND,"AAPL,AMD,AMZN",c317873b15a3,rank_mom_60,3
2015-02-13,B2_MOMENTUM_TREND,"AAPL,AMD,AMZN",c317873b15a3,rank_mom_60,3
2015-02-20,B2_MOMENTUM_TREND,"AAPL,AMD,AMZN",c317873b15a3,rank_mom_60,3
2015-02-27,B2_MOMENTUM_TREND,"AAPL,AMD,AMZN",c317873b15a3,rank_mom_60,3
2015-03-06,B2_MOMENTUM_TREND,"AAPL,AMD,AMZN",c317873b15a3,rank_mom_60,3
2015-03-13,B2_MOMENTUM_TREND,"AAPL,AMD,AMZN",c317873b15a3,rank_mom_60,3
2015-03-20,B2_MOMENTUM_TREND,"AAPL,AMD,AMZN",c317873b15a3,rank_mom_60,3
2015-03-27,B2_MOMENTUM_TREND,"AAPL,AMD,AMZN",c317873b15a3,rank_mom_60,3
2015-04-10,B2_MOMENTUM_TREND,"AAPL,AMZN,AVGO",e3ef504c4a8b,rank_mom_60,3
2015-04-17,B2_MOMENTUM_TREND,"AMD,AMZN,AVGO",a9cdb4fd553d,rank_mom_60,3
2015-04-24,B2_MOMENTUM_TREND,"AAPL,AMZN,AVGO",e3ef504c4a8b,rank_mom_60,3
2015-05-01,B2_MOMENTUM_TREND,"AMZN,AVGO,MSFT",e86347e59173,rank_mom_60,3
2015-05-08,B2_MOMENTUM_TREND,"AMZN,AVGO,JPM",7a04c34c681e,rank_mom_60,3
2015-05-15,B2_MOMENTUM_TREND,"AMZN,AVGO,JPM",7a04c34c681e,rank_mom_60,3
2015-05-22,B2_MOMENTUM_TREND,"AMZN,AVGO,JPM",7a04c34c681e,rank_mom_60,3
2015-05-29,B2_MOMENTUM_TREND,"AMZN,AVGO,MSFT",e86347e59173,rank_mom_60,3
2015-06-05,B2_MOMENTUM_TREND,"AMZN,AVGO,LLY",25f52d262ee5,rank_mom_60,3
2015-06-12,B2_MOMENTUM_TREND,"AMZN,LLY,MSFT",504fdf7535d6,rank_mom_60,3
2015-06-19,B2_MOMENTUM_TREND,"AMZN,BAC,JPM",ae31af4d8377,rank_mom_60,3
2015-06-26,B2_MOMENTUM_TREND,"AMZN,JPM,LLY",0615524c3c25,rank_mom_60,3
2015-07-10,B2_MOMENTUM_TREND,"AMZN,LLY,MSFT",504fdf7535d6,rank_mom_60,3
2015-07-17,B2_MOMENTUM_TREND,"AMZN,BAC,LLY",5f1faa5668c7,rank_mom_60,3
