signal_date,execution_date,holding_start,sum_weights,cash_weight,turnover,cost,equity_after_cost
2015-07-31,2015-08-03,2015-08-03,1.0,0,1.0,20.0,9980.0
2016-09-30,2016-10-03,2016-10-03,1.0,0,0.0,0.0,13712.32
2017-03-31,2017-04-03,2017-04-03,1.0,0,0.0,0.0,16922.34
2017-06-30,2017-07-03,2017-07-03,1.0,0,0.0,0.0,17841.99
2018-08-31,2018-09-04,2018-09-04,1.0,0,0.0,0.0,25895.42
2018-11-30,2018-12-03,2018-12-03,1.0,0,0.0,0.0,24218.05
2019-05-31,2019-06-03,2019-06-03,1.0,0,0.0,0.0,24975.27
2020-01-31,2020-02-03,2020-02-03,1.0,0,0.0,0.0,31980.19
2020-07-31,2020-08-03,2020-08-03,1.0,0,0.0,0.0,36615.03
2021-04-30,2021-05-03,2021-05-03,1.0,0,0.0,0.0,49469.97
2021-12-31,2022-01-03,2022-01-03,1.0,0,0.0,0.0,64539.6
2022-09-30,2022-10-03,2022-10-03,1.0,0,0.0,0.0,49949.94
2023-03-31,2023-04-03,2023-04-03,1.0,0,0.0,0.0,62555.7
2023-06-30,2023-07-03,2023-07-03,1.0,0,0.0,0.0,73630.83
2024-05-31,2024-06-03,2024-06-03,1.0,0,0.0,0.0,105601.52
2025-01-31,2025-02-03,2025-02-03,1.0,0,0.0,0.0,125580.71
2025-02-28,2025-03-03,2025-03-03,1.0,0,0.0,0.0,122994.08
2025-10-31,2025-11-03,2025-11-03,1.0,0,0.0,0.0,153003.56
2015-07-31,2015-08-03,2015-08-03,1.0,0,1.0,20.0,9980.0
2016-09-30,2016-10-03,2016-10-03,1.0,0,0.666667,17.5484,13143.74
2017-03-31,2017-04-03,2017-04-03,1.0,0,0.333333,11.9987,17986.1
2017-06-30,2017-07-03,2017-07-03,1.0,0,0.0,0.0,19096.99
2018-08-31,2018-09-04,2018-09-04,1.0,0,0.166667,10.0863,30248.88
2018-11-30,2018-12-03,2018-12-03,1.0,0,0.666667,36.1111,27047.18
2019-05-31,2019-06-03,2019-06-03,1.0,0,0.333333,18.9755,28444.31
2020-01-31,2020-02-03,2020-02-03,1.0,0,0.5,35.3594,35324.01
2020-07-31,2020-08-03,2020-08-03,1.0,0,0.166667,13.1937,39567.77
2021-04-30,2021-05-03,2021-05-03,1.0,0,0.666667,71.82,53793.18
2021-12-31,2022-01-03,2022-01-03,1.0,0,0.333333,50.4703,75654.96
2022-09-30,2022-10-03,2022-10-03,1.0,0,0.333333,42.0065,62967.79
2023-03-31,2023-04-03,2023-04-03,1.0,0,0.333333,49.1663,73700.35
2023-06-30,2023-07-03,2023-07-03,1.0,0,0.166667,28.9629,86859.77
2024-05-31,2024-06-03,2024-06-03,1.0,0,0.333333,93.1258,139595.53
2025-01-31,2025-02-03,2025-02-03,1.0,0,0.333333,110.6735,165899.52
2025-02-28,2025-03-03,2025-03-03,1.0,0,0.0,0.0,169510.48
2025-10-31,2025-11-03,2025-11-03,1.0,0,0.333333,144.3355,216358.94
2015-01-02,2015-01-05,2015-01-05,1.0,0,1.0,20.0,9980.0
2015-01-09,2015-01-12,2015-01-12,1.0,0,0.0,0.0,10062.62
2015-01-16,2015-01-20,2015-01-20,1.0,0,0.0,0.0,9506.48
2015-01-23,2015-01-26,2015-01-26,1.0,0,0.0,0.0,10043.35
2015-01-30,2015-02-02,2015-02-02,1.0,0,0.0,0.0,10817.35
2015-02-06,2015-02-09,2015-02-09,1.0,0,0.0,0.0,11746.11
2015-02-13,2015-02-17,2015-02-17,1.0,0,0.0,0.0,12247.47
2015-02-20,2015-02-23,2015-02-23,1.0,0,0.0,0.0,12227.27
2015-02-27,2015-03-02,2015-03-02,1.0,0,0.0,0.0,12228.25
2015-03-06,2015-03-09,2015-03-09,1.0,0,0.0,0.0,11919.42
2015-03-13,2015-03-16,2015-03-16,1.0,0,0.0,0.0,11496.55
2015-03-20,2015-03-23,2015-03-23,1.0,0,0.0,0.0,11721.78
2015-03-27,2015-03-30,2015-03-30,1.0,0,0.0,0.0,11450.8
2015-04-10,2015-04-13,2015-04-13,1.0,0,0.333333,7.8351,11744.79
2015-04-17,2015-04-20,2015-04-20,1.0,0,0.333333,7.6315,11439.59
2015-04-24,2015-04-27,2015-04-27,1.0,0,0.333333,7.7506,11618.17
2015-05-01,2015-05-04,2015-05-04,1.0,0,0.333333,7.6603,11482.73
2015-05-08,2015-05-11,2015-05-11,1.0,0,0.333333,7.6851,11519.96
2015-05-15,2015-05-18,2015-05-18,1.0,0,0.0,0.0,11614.48
2015-05-22,2015-05-26,2015-05-26,1.0,0,0.0,0.0,11809.51
2015-05-29,2015-06-01,2015-06-01,1.0,0,0.333333,8.1542,12223.19
2015-06-05,2015-06-08,2015-06-08,1.0,0,0.333333,8.0154,12015.1
2015-06-12,2015-06-15,2015-06-15,1.0,0,0.333333,8.1729,12251.25
2015-06-19,2015-06-22,2015-06-22,1.0,0,0.666667,16.3126,12218.13
2015-06-26,2015-06-29,2015-06-29,1.0,0,0.333333,8.2382,12349.08
2015-07-10,2015-07-13,2015-07-13,1.0,0,0.333333,8.2864,12421.3
2015-07-17,2015-07-20,2015-07-20,1.0,0,0.333333,8.6177,12917.9
2015-07-24,2015-07-27,2015-07-27,1.0,0,0.666667,17.5403,13137.66
2015-07-31,2015-08-03,2015-08-03,1.0,0,0.333333,8.6759,13005.14
2015-08-07,2015-08-10,2015-08-10,1.0,0,0.0,0.0,12953.63
2015-08-14,2015-08-17,2015-08-17,1.0,0,0.0,0.0,13196.58
2015-08-21,2015-08-24,2015-08-24,1.0,0,0.333333,8.1415,12204.17
2015-08-28,2015-08-31,2015-08-31,1.0,0,0.333333,8.2886,12424.63
2015-09-04,2015-09-08,2015-09-08,1.0,0,0.0,0.0,11954.78
2015-09-11,2015-09-14,2015-09-14,1.0,0,0.0,0.0,12536.35
2015-09-18,2015-09-21,2015-09-21,1.0,0,0.333333,8.5103,12756.89
2015-09-25,2015-09-28,2015-09-28,1.0,0,0.0,0.0,12554.78
2015-10-02,2015-10-05,2015-10-05,1.0,0,0.0,0.0,12944.41
2015-10-09,2015-10-12,2015-10-12,1.0,0,0.0,0.0,13317.88
2015-10-16,2015-10-19,2015-10-19,1.0,0,0.333333,9.3598,14030.29
2015-10-23,2015-10-26,2015-10-26,1.0,0,0.333333,10.021,15021.5
2015-10-30,2015-11-02,2015-11-02,1.0,0,0.666667,19.8087,14836.72
2015-11-06,2015-11-09,2015-11-09,1.0,0,0.0,0.0,15894.98
2015-11-13,2015-11-16,2015-11-16,1.0,0,0.0,0.0,15265.62
2015-11-20,2015-11-23,2015-11-23,1.0,0,0.0,0.0,15929.32
2015-11-27,2015-11-30,2015-11-30,1.0,0,0.333333,10.6295,15933.56
2015-12-04,2015-12-07,2015-12-07,1.0,0,0.333333,10.8045,16196.0
2015-12-11,2015-12-14,2015-12-14,1.0,0,0.333333,10.3709,15545.91
2015-12-18,2015-12-21,2015-12-21,1.0,0,0.0,0.0,15700.99
2016-01-08,2016-01-11,2016-01-11,1.0,0,0.0,0.0,14479.12
2016-01-15,2016-01-19,2016-01-19,1.0,0,0.333333,9.1415,13703.14
2016-01-22,2016-01-25,2016-01-25,1.0,0,0.666667,18.5364,13883.74
2016-01-29,2016-02-01,2016-02-01,1.0,0,0.666667,18.7562,14048.36
2016-02-05,2016-02-08,2016-02-08,1.0,0,0.0,0.0,13570.02
2016-02-12,2016-02-16,2016-02-16,1.0,0,0.666667,17.5925,13176.76
2016-02-19,2016-02-22,2016-02-22,1.0,0,0.0,0.0,13383.23
2016-02-26,2016-02-29,2016-02-29,1.0,0,0.333333,9.073,13600.47
2016-03-04,2016-03-07,2016-03-07,1.0,0,0.666667,18.2105,13639.64
2016-03-11,2016-03-14,2016-03-14,1.0,0,0.333333,9.3361,13994.84
2016-03-18,2016-03-21,2016-03-21,1.0,0,0.333333,9.498,14237.47
2016-04-01,2016-04-04,2016-04-04,1.0,0,0.666667,18.8801,14141.23
2016-04-08,2016-04-11,2016-04-11,1.0,0,1.0,27.3999,13672.53
2016-04-15,2016-04-18,2016-04-18,1.0,0,0.333333,9.2564,13875.31
2016-04-22,2016-04-25,2016-04-25,1.0,0,0.0,0.0,15839.63
2016-04-29,2016-05-02,2016-05-02,1.0,0,0.333333,10.0097,15004.51
2016-05-06,2016-05-09,2016-05-09,1.0,0,0.333333,10.0971,15135.52
2016-05-13,2016-05-16,2016-05-16,1.0,0,0.0,0.0,16204.71
2016-05-20,2016-05-23,2016-05-23,1.0,0,0.0,0.0,16879.58
2016-05-27,2016-05-31,2016-05-31,1.0,0,0.0,0.0,18199.48
2016-06-03,2016-06-06,2016-06-06,1.0,0,0.0,0.0,17791.66
2016-06-10,2016-06-13,2016-06-13,1.0,0,0.0,0.0,17931.36
2016-06-17,2016-06-20,2016-06-20,1.0,0,0.0,0.0,19157.39
2016-06-24,2016-06-27,2016-06-27,1.0,0,0.0,0.0,18515.32
2016-07-01,2016-07-05,2016-07-05,1.0,0,0.0,0.0,19127.67
2016-07-08,2016-07-11,2016-07-11,1.0,0,0.0,0.0,19909.04
2016-07-15,2016-07-18,2016-07-18,1.0,0,0.0,0.0,20111.64
2016-07-22,2016-07-25,2016-07-25,1.0,0,0.0,0.0,21373.77
2016-07-29,2016-08-01,2016-08-01,1.0,0,0.333333,15.384,23060.69
2016-08-05,2016-08-08,2016-08-08,1.0,0,0.0,0.0,23310.72
2016-08-12,2016-08-15,2016-08-15,1.0,0,0.0,0.0,24204.14
2016-08-19,2016-08-22,2016-08-22,1.0,0,0.333333,16.845,25250.66
2016-08-26,2016-08-29,2016-08-29,1.0,0,0.333333,16.7262,25072.62
