rebalance,date,equity
weekly,2015-01-05,9980.0
weekly,2015-01-06,9866.836484840154
weekly,2015-01-07,9885.288222854537
weekly,2015-01-08,10072.734214485212
weekly,2015-01-09,10062.617708267146
weekly,2015-01-12,9917.612052974508
weekly,2015-01-13,10022.45050283714
weekly,2015-01-14,9955.379271780508
weekly,2015-01-15,9655.006679389633
weekly,2015-01-16,9506.481748026654
weekly,2015-01-20,9375.052835419396
weekly,2015-01-21,9776.203571078715
weekly,2015-01-22,10030.868942701441
weekly,2015-01-23,10043.353124675594
weekly,2015-01-26,10236.282454900807
weekly,2015-01-27,10202.4067364484
weekly,2015-01-28,10275.009980763503
weekly,2015-01-29,10444.28942957845
weekly,2015-01-30,10817.346547855026
weekly,2015-02-02,11103.986087284733
weekly,2015-02-03,11220.030939123106
weekly,2015-02-04,11383.016869858291
weekly,2015-02-05,12117.59771826397
weekly,2015-02-06,11746.113395113034
weekly,2015-02-09,11746.128312130428
weekly,2015-02-10,11847.13006238314
weekly,2015-02-11,12001.317930018471
weekly,2015-02-12,12138.733088063842
weekly,2015-02-13,12247.469774275874
weekly,2015-02-17,12151.29413734627
weekly,2015-02-18,12118.199405372132
weekly,2015-02-19,12144.405545206868
weekly,2015-02-20,12227.27063394815
weekly,2015-02-23,12300.030220603943
weekly,2015-02-24,12324.721473071619
weekly,2015-02-25,12280.023401113574
weekly,2015-02-26,12299.367795666436
weekly,2015-02-27,12228.249630625738
weekly,2015-03-02,12438.275509533021
weekly,2015-03-03,12345.245773079389
weekly,2015-03-04,12180.99099045575
weekly,2015-03-05,12074.732829306387
weekly,2015-03-06,11919.417409346821
weekly,2015-03-09,11933.979327410992
weekly,2015-03-10,11743.014271583794
weekly,2015-03-11,11531.145068915024
weekly,2015-03-12,11574.929939530746
weekly,2015-03-13,11496.5542410682
weekly,2015-03-16,11581.303563906493
weekly,2015-03-17,11645.077574918065
weekly,2015-03-18,11694.350616093107
weekly,2015-03-19,11631.000220285112
weekly,2015-03-20,11721.779934892029
weekly,2015-03-23,11783.359972359527
weekly,2015-03-24,11687.472764435544
weekly,2015-03-25,11329.675376661791
weekly,2015-03-26,11347.965520573354
weekly,2015-03-27,11450.797469957894
weekly,2015-03-30,11560.86633741042
weekly,2015-03-31,11447.54478971589
weekly,2015-04-01,11437.393429532296
weekly,2015-04-02,11490.715420174687
weekly,2015-04-06,11616.284709787027
weekly,2015-04-07,11548.53391469354
weekly,2015-04-08,11620.076396366801
weekly,2015-04-09,11687.7513613347
weekly,2015-04-10,11752.627351716159
weekly,2015-04-13,11688.746197315892
weekly,2015-04-14,11657.291035372353
weekly,2015-04-15,11715.486925334884
weekly,2015-04-16,11705.393012985938
weekly,2015-04-17,11447.216581759261
weekly,2015-04-20,11485.13317583281
weekly,2015-04-21,11288.473706210647
weekly,2015-04-22,11309.838232860939
weekly,2015-04-23,11281.458605883496
weekly,2015-04-24,11625.925202580234
weekly,2015-04-27,11652.78705273431
weekly,2015-04-28,11422.375818235008
weekly,2015-04-29,11353.299911331967
weekly,2015-04-30,11178.87987238542
weekly,2015-05-01,11490.39111717656
weekly,2015-05-04,11400.114503577583
weekly,2015-05-05,11196.021871472349
weekly,2015-05-06,11073.690333679735
weekly,2015-05-07,11355.879280399542
weekly,2015-05-08,11527.644713701793
weekly,2015-05-11,11493.987587736785
weekly,2015-05-12,11476.886315714402
weekly,2015-05-13,11455.018475653085
weekly,2015-05-14,11652.448906875905
weekly,2015-05-15,11614.48052821213
weekly,2015-05-18,11709.24651311322
weekly,2015-05-19,11690.229556582222
weekly,2015-05-20,11668.441398605784
weekly,2015-05-21,11764.149094290591
weekly,2015-05-22,11809.510202978481
weekly,2015-05-26,11706.034154484574
weekly,2015-05-27,12107.360280796365
weekly,2015-05-28,12070.981949129893
weekly,2015-05-29,12231.344252414656
weekly,2015-06-01,12231.502858120659
weekly,2015-06-02,12136.99677083756
weekly,2015-06-03,12152.657678513588
weekly,2015-06-04,12003.714065393442
weekly,2015-06-05,12023.113180059276
weekly,2015-06-08,11858.977954114234
weekly,2015-06-09,12136.47549311103
weekly,2015-06-10,12283.272921552307
weekly,2015-06-11,12447.1013704555
weekly,2015-06-12,12259.42090550865
weekly,2015-06-15,12142.045716245933
weekly,2015-06-16,12241.186059087093
weekly,2015-06-17,12198.738133395043
weekly,2015-06-18,12351.29368898305
weekly,2015-06-19,12234.445210272066
weekly,2015-06-22,12354.761777394642
weekly,2015-06-23,12540.648521113035
weekly,2015-06-24,12406.045158937666
weekly,2015-06-25,12348.563173403822
weekly,2015-06-26,12357.322924208745
weekly,2015-06-29,12068.715654504025
weekly,2015-06-30,12122.414020506389
weekly,2015-07-01,12297.076555795462
weekly,2015-07-02,12427.13314040256
weekly,2015-07-06,12317.900161111902
weekly,2015-07-07,12395.86107552153
weekly,2015-07-08,12111.529875921367
weekly,2015-07-09,12059.989095711126
weekly,2015-07-10,12347.980204211657
weekly,2015-07-13,12540.087344409041
weekly,2015-07-14,12687.337012106236
weekly,2015-07-15,12543.341124018718
weekly,2015-07-16,12733.487849438814
weekly,2015-07-17,12789.092360803534
weekly,2015-07-20,12861.491815622323
weekly,2015-07-21,12738.492569128919
weekly,2015-07-22,12841.256052641555
weekly,2015-07-23,12779.823695245843
weekly,2015-07-24,13052.359377593702
weekly,2015-07-27,12949.922843819277
weekly,2015-07-28,12966.676562877998
weekly,2015-07-29,13079.78617532029
weekly,2015-07-30,13084.359551486397
weekly,2015-07-31,12978.098818353039
weekly,2015-08-03,13022.547425344705
weekly,2015-08-04,12970.999702503012
weekly,2015-08-05,13200.464652837005
weekly,2015-08-06,13057.854453225782
weekly,2015-08-07,12926.690284749187
weekly,2015-08-10,12923.108980470322
weekly,2015-08-11,13103.731196787825
weekly,2015-08-12,13124.890829997816
weekly,2015-08-13,13089.405934567156
weekly,2015-08-14,13169.135886623768
weekly,2015-08-17,13207.097046085268
weekly,2015-08-18,13229.445255302158
weekly,2015-08-19,13252.622733374827
weekly,2015-08-20,12797.710285637404
weekly,2015-08-21,12186.922181008364
weekly,2015-08-24,11577.585053225848
weekly,2015-08-25,11449.28284456985
