strategy_a,strategy_b,mean_jaccard,pct_identical_dates,n_dates
P1_BASELINE_MOMENTUM,P2_CORRECTED_COMPOSITE,0.5453,26.94,579
P1_BASELINE_MOMENTUM,P3_MOM_TREND_FILTER,1.0,100.0,579
P1_BASELINE_MOMENTUM,P4_LOW_VOL_MOM,0.4573,17.62,579
P1_BASELINE_MOMENTUM,P5_ENSEMBLE,0.7831,58.03,579
P2_CORRECTED_COMPOSITE,P3_MOM_TREND_FILTER,0.5453,26.94,579
P2_CORRECTED_COMPOSITE,P4_LOW_VOL_MOM,0.642,35.23,579
P2_CORRECTED_COMPOSITE,P5_ENSEMBLE,0.6774,42.31,579
P3_MOM_TREND_FILTER,P4_LOW_VOL_MOM,0.4573,17.62,579
P3_MOM_TREND_FILTER,P5_ENSEMBLE,0.7831,58.03,579
P4_LOW_VOL_MOM,P5_ENSEMBLE,0.5528,26.94,579
