strategy,ticker,weight,sector
B0_SPY,SPY,0.25,ETF
B1_EQUAL_WEIGHT,AAPL,0.25,TECH
B1_EQUAL_WEIGHT,AMD,0.25,TECH
B1_EQUAL_WEIGHT,AMZN,0.25,TECH
B1_EQUAL_WEIGHT,AVGO,0.25,TECH
B1_EQUAL_WEIGHT,BAC,0.25,FIN
B1_EQUAL_WEIGHT,COST,0.25,STAPLES
B1_EQUAL_WEIGHT,CVX,0.25,ENERGY
B1_EQUAL_WEIGHT,GOOGL,0.25,TECH
B1_EQUAL_WEIGHT,JPM,0.25,FIN
B1_EQUAL_WEIGHT,LLY,0.25,HEALTH
B1_EQUAL_WEIGHT,META,0.25,TECH
B1_EQUAL_WEIGHT,MSFT,0.25,TECH
B1_EQUAL_WEIGHT,NVDA,0.25,TECH
B1_EQUAL_WEIGHT,UNH,0.25,HEALTH
B1_EQUAL_WEIGHT,WMT,0.25,STAPLES
B1_EQUAL_WEIGHT,XOM,0.25,ENERGY
B3_MOMENTUM,AMD,0.25,TECH
B3_MOMENTUM,AVGO,0.25,TECH
B3_MOMENTUM,GOOGL,0.25,TECH
B4_MOM_TREND,AMD,0.25,TECH
B4_MOM_TREND,AVGO,0.25,TECH
B4_MOM_TREND,UNH,0.25,HEALTH
B6_COMPOSITE,AMD,0.25,TECH
B6_COMPOSITE,GOOGL,0.25,TECH
B6_COMPOSITE,NVDA,0.25,TECH
S1_MOMENTUM_12_1_TOP20,AMD,0.25,TECH
S1_MOMENTUM_12_1_TOP20,AVGO,0.25,TECH
S1_MOMENTUM_12_1_TOP20,GOOGL,0.25,TECH
S2_MOMENTUM_TREND_TOP20,AMD,0.25,TECH
S2_MOMENTUM_TREND_TOP20,AVGO,0.25,TECH
S2_MOMENTUM_TREND_TOP20,UNH,0.25,HEALTH
S3_LOW_VOL_MOMENTUM_TOP20,AMD,0.25,TECH
S3_LOW_VOL_MOMENTUM_TOP20,CVX,0.25,ENERGY
S3_LOW_VOL_MOMENTUM_TOP20,XOM,0.25,ENERGY
S4_CORRECTED_COMPOSITE_TOP20,AMD,0.25,TECH
S4_CORRECTED_COMPOSITE_TOP20,GOOGL,0.25,TECH
S4_CORRECTED_COMPOSITE_TOP20,NVDA,0.25,TECH
S7_SECTOR_NEUTRAL_COMPOSITE,AMD,0.25,TECH
S7_SECTOR_NEUTRAL_COMPOSITE,BAC,0.25,FIN
S7_SECTOR_NEUTRAL_COMPOSITE,GOOGL,0.25,TECH
S7_SECTOR_NEUTRAL_COMPOSITE,LLY,0.25,HEALTH
S7_SECTOR_NEUTRAL_COMPOSITE,WMT,0.25,STAPLES
S7_SECTOR_NEUTRAL_COMPOSITE,XOM,0.25,ENERGY
