perm,total_return_pct,CAGR_pct,sharpe,max_drawdown_pct,annual_vol_pct,years,metric_consistency_error,METRIC_STATUS,n_periods,excess_CAGR_pct,information_ratio
0,537.51,11.89,0.591,-37.41,23.92,16.49,0.0,PASS,4147,-14.45,-0.7600413405185843
1,833.97,14.51,0.694,-31.01,23.56,16.49,0.0,PASS,4147,-11.83,-0.6640163405032659
2,1558.67,18.57,0.807,-34.15,25.03,16.49,0.0,PASS,4147,-7.77,-0.3217005146282231
3,2190.89,20.91,0.907,-41.81,24.22,16.49,0.0,PASS,4147,-5.43,-0.2707930034955788
4,329.59,9.24,0.493,-33.57,23.68,16.49,0.0,PASS,4147,-17.1,-0.9887003332024198
5,548.6,12.01,0.598,-51.83,23.76,16.49,0.0,PASS,4147,-14.33,-0.7717602388563103
6,1247.02,17.08,0.764,-40.23,24.67,16.49,0.0,PASS,4147,-9.26,-0.37650831948495267
7,3728.5,24.74,1.035,-33.27,24.23,16.49,0.0,PASS,4147,-1.6,0.015897896790644288
8,713.84,13.56,0.646,-40.32,24.3,16.49,0.0,PASS,4147,-12.78,-0.6507773570097409
9,1764.01,19.41,0.858,-31.11,24.09,16.49,0.0,PASS,4147,-6.93,-0.2936401493584398
10,1149.48,16.55,0.743,-41.61,24.77,16.49,0.0,PASS,4147,-9.79,-0.49883788977953986
11,1907.13,19.95,0.886,-32.63,23.74,16.49,0.0,PASS,4147,-6.39,-0.30501051330259615
12,188.12,6.63,0.387,-47.48,24.25,16.49,0.0,PASS,4147,-19.71,-1.1190541408730075
13,521.92,11.72,0.572,-40.37,24.86,16.49,0.0,PASS,4147,-14.62,-0.7857931176790844
14,749.37,13.85,0.657,-44.6,24.32,16.49,0.0,PASS,4147,-12.49,-0.5986119427134073
15,1845.88,19.72,0.859,-34.03,24.49,16.49,0.0,PASS,4147,-6.62,-0.2938790470652985
16,974.12,15.49,0.71,-44.33,24.56,16.49,0.0,PASS,4147,-10.85,-0.47133680381401327
17,754.79,13.9,0.667,-44.08,23.8,16.49,0.0,PASS,4147,-12.44,-0.6414250026531519
18,1396.4,17.83,0.805,-36.35,24.03,16.49,0.0,PASS,4147,-8.51,-0.4039509041264946
19,242.4,7.75,0.431,-46.39,24.13,16.49,0.0,PASS,4147,-18.59,-1.0164311482614827
20,349.28,9.54,0.496,-39.26,24.32,16.49,0.0,PASS,4147,-16.8,-0.8732022650919117
21,722.77,13.63,0.654,-37.58,23.97,16.49,0.0,PASS,4147,-12.71,-0.6600503402414546
22,830.76,14.49,0.677,-31.78,24.44,16.49,0.0,PASS,4147,-11.85,-0.5863556372791703
23,1952.42,20.11,0.898,-30.9,23.54,16.49,0.0,PASS,4147,-6.23,-0.30370178046461854
24,739.73,13.77,0.653,-42.47,24.39,16.49,0.0,PASS,4147,-12.57,-0.708925826855831
25,288.92,8.59,0.463,-44.64,24.1,16.49,0.0,PASS,4147,-17.75,-1.03641690063544
26,111.74,4.65,0.309,-46.49,24.64,16.49,0.0,PASS,4147,-21.69,-1.2086097957660684
27,523.45,11.74,0.58,-46.47,24.21,16.49,0.0,PASS,4147,-14.6,-0.8349434870230882
28,1099.67,16.26,0.737,-38.62,24.58,16.49,0.0,PASS,4147,-10.08,-0.47956137097798596
29,722.03,13.63,0.658,-36.73,23.76,16.49,0.0,PASS,4147,-12.71,-0.6809648727819934
30,273.83,8.32,0.451,-44.62,24.38,16.49,0.0,PASS,4147,-18.02,-0.979948017201746
31,342.6,9.44,0.492,-39.87,24.52,16.49,0.0,PASS,4147,-16.9,-0.9199307670850652
32,365.55,9.78,0.506,-38.9,24.28,16.49,0.0,PASS,4147,-16.56,-0.9033472304613668
33,1273.96,17.22,0.768,-49.16,24.73,16.49,0.0,PASS,4147,-9.12,-0.424884002209635
34,628.04,12.79,0.629,-40.76,23.59,16.49,0.0,PASS,4147,-13.55,-0.7675978578053216
35,1006.55,15.69,0.721,-38.2,24.43,16.49,0.0,PASS,4147,-10.65,-0.5263286071647842
36,744.08,13.81,0.654,-44.04,24.37,16.49,0.0,PASS,4147,-12.53,-0.6756808731433981
37,610.1,12.62,0.622,-41.58,23.64,16.49,0.0,PASS,4147,-13.72,-0.7062352455552957
38,463.49,11.05,0.559,-35.87,23.9,16.49,0.0,PASS,4147,-15.29,-0.8383320538220157
39,439.83,10.77,0.546,-42.83,24.08,16.49,0.0,PASS,4147,-15.57,-0.8334920478029165
40,409.56,10.38,0.536,-35.74,23.69,16.49,0.0,PASS,4147,-15.96,-0.8919994821212227
41,849.42,14.62,0.691,-39.67,23.97,16.49,0.0,PASS,4147,-11.72,-0.6234264978441275
42,1070.11,16.09,0.742,-38.42,24.04,16.49,0.0,PASS,4147,-10.25,-0.5198419631153626
43,1753.55,19.37,0.853,-42.74,24.25,16.49,0.0,PASS,4147,-6.97,-0.31736543093176794
44,1346.1,17.59,0.798,-35.98,23.94,16.49,0.0,PASS,4147,-8.75,-0.42882529954544807
45,451.43,10.91,0.557,-43.23,23.67,16.49,0.0,PASS,4147,-15.43,-0.8136801815208079
46,800.34,14.26,0.671,-44.82,24.34,16.49,0.0,PASS,4147,-12.08,-0.6184295864140149
47,777.81,14.08,0.677,-40.66,23.64,16.49,0.0,PASS,4147,-12.26,-0.6680866058052652
48,719.53,13.61,0.642,-44.53,24.61,16.49,0.0,PASS,4147,-12.73,-0.6713099669773539
49,888.93,14.91,0.703,-47.66,23.92,16.49,0.0,PASS,4147,-11.43,-0.5454551418282232
