a,b,mean_jaccard,pct_identical
B0_SPY,S1_MOMENTUM_12_1_TOP20,0.0,0.0
B0_SPY,S2_MOMENTUM_TREND_TOP20,0.0,0.0
B0_SPY,S3_LOW_VOL_MOMENTUM_TOP20,0.0,0.0
B0_SPY,S4_CORRECTED_COMPOSITE_TOP20,0.0,0.0
B0_SPY,S7_SECTOR_NEUTRAL_COMPOSITE,0.0,0.0
S1_MOMENTUM_12_1_TOP20,S2_MOMENTUM_TREND_TOP20,0.294,6.9
S1_MOMENTUM_12_1_TOP20,S3_LOW_VOL_MOMENTUM_TOP20,0.428,16.1
S1_MOMENTUM_12_1_TOP20,S4_CORRECTED_COMPOSITE_TOP20,0.507,20.1
S1_MOMENTUM_12_1_TOP20,S7_SECTOR_NEUTRAL_COMPOSITE,0.376,0.0
S2_MOMENTUM_TREND_TOP20,S3_LOW_VOL_MOMENTUM_TOP20,0.44,15.1
S2_MOMENTUM_TREND_TOP20,S4_CORRECTED_COMPOSITE_TOP20,0.524,22.5
S2_MOMENTUM_TREND_TOP20,S7_SECTOR_NEUTRAL_COMPOSITE,0.2,0.0
S3_LOW_VOL_MOMENTUM_TOP20,S4_CORRECTED_COMPOSITE_TOP20,0.623,31.9
S3_LOW_VOL_MOMENTUM_TOP20,S7_SECTOR_NEUTRAL_COMPOSITE,0.254,0.0
S4_CORRECTED_COMPOSITE_TOP20,S7_SECTOR_NEUTRAL_COMPOSITE,0.291,0.0
