ticker,strategy,sector,gross_pnl_contribution,cost_contribution,net_pnl_contribution,pct_of_total_net_pnl,average_weight,max_weight,holding_periods
AAPL,S1_MOMENTUM_12_1,TECH,0.01955876,0.00209286,0.0174659,1.5196,0.043085,0.1,512
AMD,S1_MOMENTUM_12_1,TECH,0.1942068,0.00334206,0.19086474,16.6061,0.051923,0.2,1334
AMZN,S1_MOMENTUM_12_1,TECH,0.04151643,0.00109444,0.04042199,3.5169,0.046302,0.1,658
AVGO,S1_MOMENTUM_12_1,TECH,0.14921914,0.00549683,0.14372231,12.5045,0.060658,0.25,1188
BAC,S1_MOMENTUM_12_1,FIN,0.06565828,0.00483333,0.06082495,5.292,0.150774,0.25,409
COST,S1_MOMENTUM_12_1,STAPLES,0.00641766,0.00976667,-0.00334901,-0.2914,0.163342,0.25,371
CVX,S1_MOMENTUM_12_1,ENERGY,0.03022901,0.00243333,0.02779568,2.4183,0.11041,0.25,301
GOOGL,S1_MOMENTUM_12_1,TECH,0.051353,0.0018,0.049553,4.3113,0.067005,0.25,436
JPM,S1_MOMENTUM_12_1,FIN,0.00194821,0.00646667,-0.00451846,-0.3931,0.154202,0.25,353
LLY,S1_MOMENTUM_12_1,HEALTH,0.23385634,0.00943333,0.22442301,19.5258,0.16591,0.25,837
META,S1_MOMENTUM_12_1,TECH,0.06704705,0.00233175,0.06471531,5.6305,0.053263,0.1,670
MSFT,S1_MOMENTUM_12_1,TECH,0.04341698,0.00198889,0.04142809,3.6044,0.055077,0.1,551
NVDA,S1_MOMENTUM_12_1,TECH,0.25027641,0.00579286,0.24448356,21.2712,0.060648,0.25,1923
UNH,S1_MOMENTUM_12_1,HEALTH,0.02327803,0.00536667,0.01791136,1.5584,0.126898,0.25,303
WMT,S1_MOMENTUM_12_1,STAPLES,-0.00287191,0.00483333,-0.00770524,-0.6704,0.159008,0.2,346
XOM,S1_MOMENTUM_12_1,ENERGY,0.04589498,0.00456667,0.04132831,3.5958,0.133611,0.25,360
AAPL,S2_MOMENTUM_TREND,TECH,0.01592579,0.00534127,0.01058452,0.8307,0.064916,0.25,674
AMD,S2_MOMENTUM_TREND,TECH,0.32440159,0.00741111,0.31699048,24.8775,0.065463,0.25,1222
AMZN,S2_MOMENTUM_TREND,TECH,0.07893495,0.0043881,0.07454686,5.8505,0.067423,0.2,580
AVGO,S2_MOMENTUM_TREND,TECH,0.03717993,0.00798016,0.02919978,2.2916,0.066205,0.25,837
BAC,S2_MOMENTUM_TREND,FIN,0.07365528,0.0095,0.06415528,5.0349,0.148132,0.25,473
COST,S2_MOMENTUM_TREND,STAPLES,-0.01967969,0.0137,-0.03337969,-2.6196,0.153802,0.25,469
CVX,S2_MOMENTUM_TREND,ENERGY,0.01034344,0.00753333,0.00281011,0.2205,0.121926,0.25,507
GOOGL,S2_MOMENTUM_TREND,TECH,0.02808525,0.00489524,0.02319001,1.82,0.079431,0.25,482
JPM,S2_MOMENTUM_TREND,FIN,0.09595327,0.00853333,0.08741994,6.8607,0.145301,0.25,415
LLY,S2_MOMENTUM_TREND,HEALTH,0.12861432,0.01211667,0.11649765,9.1428,0.162171,0.25,823
META,S2_MOMENTUM_TREND,TECH,0.01661272,0.00501429,0.01159843,0.9102,0.05885,0.25,650
MSFT,S2_MOMENTUM_TREND,TECH,0.05431294,0.00420556,0.05010738,3.9324,0.069147,0.2,345
NVDA,S2_MOMENTUM_TREND,TECH,0.3835875,0.00626746,0.37732004,29.6122,0.062479,0.25,1344
UNH,S2_MOMENTUM_TREND,HEALTH,-0.05142722,0.01205,-0.06347722,-4.9817,0.151003,0.25,532
WMT,S2_MOMENTUM_TREND,STAPLES,0.10106587,0.0157,0.08536587,6.6995,0.168722,0.25,592
XOM,S2_MOMENTUM_TREND,ENERGY,0.13247586,0.0112,0.12127586,9.5178,0.135765,0.25,562
AAPL,S3_LOW_VOL_MOMENTUM,TECH,0.03333339,0.00273333,0.03060005,2.4345,0.05434,0.2,534
AMD,S3_LOW_VOL_MOMENTUM,TECH,0.42099857,0.00472302,0.41627555,33.118,0.062491,0.2,1448
AMZN,S3_LOW_VOL_MOMENTUM,TECH,0.01300204,0.00341825,0.00958379,0.7625,0.055737,0.2,476
