ticker,status,rows,dollar_vol_60
SPY,valid,4153,39319625703.12012
QQQ,valid,4153,31075744505.07375
IWM,valid,4153,7740361399.1398115
DIA,valid,4153,2420171819.0494285
XLK,valid,4153,2248416580.7678223
XLV,valid,4153,1561191251.7754364
XLF,valid,4153,1852159792.681446
XLE,valid,4153,2127586541.0506184
XLY,valid,4153,948576799.7101339
XLP,valid,4153,1006979273.6860021
XLI,valid,4153,1436941549.6019745
XLU,valid,4153,935960787.971681
XLC,valid,2024,673639900.7023367
MTUM,valid,3326,430334692.7385966
QUAL,valid,3263,378638974.1315715
USMV,valid,3699,210814400.20890555
VLUE,valid,3326,284929796.07788086
SPLV,valid,3816,182617269.70108032
SCHD,valid,3699,641851025.8281549
SHY,valid,4153,276031248.3343379
IEF,valid,4153,641776855.4359945
TLT,valid,4153,2107440860.3834026
GLD,valid,4153,2858504165.5462646
AAPL,valid,4153,16035266909.16748
MSFT,valid,4153,16315182320.110422
NVDA,valid,4153,33312612899.023945
AMD,valid,4153,16015176573.792978
AVGO,valid,4153,10814100942.07662
GOOGL,valid,4153,11663665374.21641
META,valid,3554,10664322843.93392
AMZN,valid,4153,12726521980.486807
JPM,valid,4153,2925974498.215586
BAC,valid,4153,1957049021.7236264
XOM,valid,4153,2541979762.3698425
CVX,valid,4153,1794369523.850835
UNH,valid,4153,2772131266.8312583
LLY,valid,4153,3489064395.1367188
WMT,valid,4153,2690003322.6206336
COST,valid,4153,2285119956.2833657
