fold_id,train_start,train_end,test_start,test_end,n_train_rows,n_test_rows,selected_features,train_ic,oos_ic
fold_2016,2010-01-08,2015-11-06,2016-01-01,2016-12-31,4617,816,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.1113,0.139
fold_2017,2010-01-08,2016-11-04,2017-01-01,2017-12-31,5401,816,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.1312,0.0674
fold_2018,2010-01-08,2017-11-03,2018-01-01,2018-12-31,6217,816,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.1178,-0.0022
fold_2019,2010-01-08,2018-11-02,2019-01-01,2019-12-31,7033,816,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.0982,0.1572
fold_2020,2010-01-08,2019-11-08,2020-01-01,2020-12-31,7865,784,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.1047,0.1086
fold_2021,2010-01-08,2020-11-06,2021-01-01,2021-12-31,8665,800,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.1147,-0.0456
fold_2022,2010-01-08,2021-11-05,2022-01-01,2022-12-31,9449,816,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.1046,-0.0159
fold_2023,2010-01-08,2022-11-04,2023-01-01,2023-12-31,10249,816,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.0909,0.0877
fold_2024,2010-01-08,2023-11-03,2024-01-01,2024-12-31,11065,816,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.0927,0.0941
fold_2025,2010-01-08,2024-11-08,2025-01-01,2025-12-31,11897,800,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.0936,0.0749
fold_2026,2010-01-08,2025-11-07,2026-01-01,2026-12-31,12697,352,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.0968,0.0802
