sector,gross_pnl_contribution,cost_contribution,net_pnl_contribution,average_portfolio_weight,max_portfolio_weight,pct_of_total_net_pnl,strategy
ENERGY,0.07612399,0.007,0.06912399,0.1220105,0.25,6.014099953409076,S1_MOMENTUM_12_1
FIN,0.06760649,0.011300000000000001,0.05630649,0.152488,0.25,4.898919447295051,S1_MOMENTUM_12_1
HEALTH,0.25713437,0.0148,0.24233437000000002,0.146404,0.25,21.08418688398077,S1_MOMENTUM_12_1
STAPLES,0.0035457500000000003,0.0146,-0.01105425,0.161175,0.25,-0.9617697764549221,S1_MOMENTUM_12_1
TECH,0.81659457,0.02393969,0.7926549,0.054745125,0.25,68.96456349177002,S1_MOMENTUM_12_1
ENERGY,0.1428193,0.01873333,0.12408597,0.1288455,0.25,9.738302768007635,S2_MOMENTUM_TREND
FIN,0.16960855,0.01803333,0.15157522,0.14671650000000003,0.25,11.895667048316309,S2_MOMENTUM_TREND
HEALTH,0.07718710000000001,0.02416667,0.05302042999999999,0.156587,0.25,4.161058661426066,S2_MOMENTUM_TREND
STAPLES,0.08138618,0.0294,0.05198618,0.16126200000000002,0.25,4.079890422681493,S2_MOMENTUM_TREND
TECH,0.93904067,0.04550319,0.8935375000000001,0.06673925,0.25,70.12508109956849,S2_MOMENTUM_TREND
ENERGY,0.09149834,0.0093,0.08219834000000001,0.1205725,0.25,6.539527100220293,S3_LOW_VOL_MOMENTUM
FIN,0.10941545,0.013,0.09641545,0.1341655,0.25,7.670610478933451,S3_LOW_VOL_MOMENTUM
HEALTH,0.04493974999999999,0.01836666,0.026573090000000008,0.155919,0.25,2.114099167837123,S3_LOW_VOL_MOMENTUM
STAPLES,0.12014317999999999,0.017466660000000002,0.10267651,0.164091,0.25,8.168727248032502,S3_LOW_VOL_MOMENTUM
TECH,0.9824035,0.03332063,0.9490828499999999,0.061789250000000004,0.25,75.50703600497663,S3_LOW_VOL_MOMENTUM
ENERGY,0.07041101,0.00996666,0.06044434,0.127941,0.25,4.875866835053226,S4_CORRECTED_COMPOSITE
FIN,0.13577720000000001,0.01696666,0.11881053,0.1577245,0.25,9.58409543196429,S4_CORRECTED_COMPOSITE
HEALTH,0.08957129,0.0188,0.07077129,0.15561750000000002,0.25,5.708911467722769,S4_CORRECTED_COMPOSITE
STAPLES,0.08613588,0.018033340000000002,0.06810256,0.15999249999999998,0.25,5.493632880865644,S4_CORRECTED_COMPOSITE
TECH,0.9573379200000001,0.03580316,0.92153475,0.060569,0.25,74.33749338439408,S4_CORRECTED_COMPOSITE
ENERGY,0.16114386,0.01566666,0.1454772,0.17018650000000002,0.25,11.100361614897466,S5_XGBRANKER
FIN,0.11308448,0.0251,0.08798448,0.1775915,0.25,6.713488742557004,S5_XGBRANKER
HEALTH,0.06741215,0.014833329999999999,0.05257881,0.165053,0.25,4.011926296911041,S5_XGBRANKER
STAPLES,0.19528384000000001,0.02213333,0.17315051,0.192027,0.25,13.211921007580019,S5_XGBRANKER
TECH,0.90005425,0.04868255,0.85137171,0.06620575000000001,0.25,64.96230233805446,S5_XGBRANKER
ENERGY,0.28433597,0.0224,0.26193597,0.2,0.2,10.475901398614345,S7_SECTOR_NEUTRAL_COMPOSITE
FIN,0.42028444,0.03,0.39028444,0.2,0.2,15.60908687284689,S7_SECTOR_NEUTRAL_COMPOSITE
HEALTH,0.41295181000000003,0.0164,0.39655180999999995,0.2,0.2,15.85974488727932,S7_SECTOR_NEUTRAL_COMPOSITE
STAPLES,0.40429532,0.0232,0.38109532,0.2,0.2,15.241576007271478,S7_SECTOR_NEUTRAL_COMPOSITE
TECH,1.10369935,0.0332,1.07049935,0.1,0.1,42.81369083398796,S7_SECTOR_NEUTRAL_COMPOSITE
ENERGY,0.30683803,0.0128,0.29403803,0.2,0.2,10.457755201558827,S8_SECTOR_NEUTRAL_MOMENTUM
FIN,0.4409118,0.0172,0.4237118,0.2,0.2,15.069731899686083,S8_SECTOR_NEUTRAL_MOMENTUM
HEALTH,0.55863838,0.012,0.5466383800000001,0.2,0.2,19.441738069788766,S8_SECTOR_NEUTRAL_MOMENTUM
STAPLES,0.40852368,0.0124,0.39612368,0.2,0.2,14.08853295262733,S8_SECTOR_NEUTRAL_MOMENTUM
TECH,1.1703625500000001,0.019200000000000002,1.15116255,0.1,0.1,40.942241876339,S8_SECTOR_NEUTRAL_MOMENTUM
ENERGY,0.17975417000000002,0.01233334,0.16742084,0.135973,0.25,12.11278688737131,S6_ENSEMBLE_COMPOSITE_RANKER
FIN,0.09205167,0.022,0.07005167,0.17703750000000001,0.25,5.068191927686316,S6_ENSEMBLE_COMPOSITE_RANKER
HEALTH,0.10227682,0.0161,0.08617682,0.1911115,0.25,6.234835850132861,S6_ENSEMBLE_COMPOSITE_RANKER
STAPLES,0.11555223,0.0179,0.09765222,0.1420115,0.25,7.065073439714545,S6_ENSEMBLE_COMPOSITE_RANKER
TECH,1.00650495,0.04562381,0.96088111,0.059644625,0.25,69.51911189509497,S6_ENSEMBLE_COMPOSITE_RANKER
