a,b,mean_jaccard
S1_MOMENTUM_12_1,S2_MOMENTUM_TREND,0.405
S1_MOMENTUM_12_1,S3_LOW_VOL_MOMENTUM,0.515
S1_MOMENTUM_12_1,S4_CORRECTED_COMPOSITE,0.594
S1_MOMENTUM_12_1,S5_XGBRANKER,0.418
S1_MOMENTUM_12_1,S7_SECTOR_NEUTRAL_COMPOSITE,0.289
S1_MOMENTUM_12_1,S8_SECTOR_NEUTRAL_MOMENTUM,0.351
S1_MOMENTUM_12_1,S6_ENSEMBLE_COMPOSITE_RANKER,0.563
S2_MOMENTUM_TREND,S3_LOW_VOL_MOMENTUM,0.571
S2_MOMENTUM_TREND,S4_CORRECTED_COMPOSITE,0.625
S2_MOMENTUM_TREND,S5_XGBRANKER,0.351
S2_MOMENTUM_TREND,S7_SECTOR_NEUTRAL_COMPOSITE,0.32
S2_MOMENTUM_TREND,S8_SECTOR_NEUTRAL_MOMENTUM,0.227
S2_MOMENTUM_TREND,S6_ENSEMBLE_COMPOSITE_RANKER,0.53
S3_LOW_VOL_MOMENTUM,S4_CORRECTED_COMPOSITE,0.728
S3_LOW_VOL_MOMENTUM,S5_XGBRANKER,0.378
S3_LOW_VOL_MOMENTUM,S7_SECTOR_NEUTRAL_COMPOSITE,0.338
S3_LOW_VOL_MOMENTUM,S8_SECTOR_NEUTRAL_MOMENTUM,0.269
S3_LOW_VOL_MOMENTUM,S6_ENSEMBLE_COMPOSITE_RANKER,0.588
S4_CORRECTED_COMPOSITE,S5_XGBRANKER,0.384
S4_CORRECTED_COMPOSITE,S7_SECTOR_NEUTRAL_COMPOSITE,0.37
S4_CORRECTED_COMPOSITE,S8_SECTOR_NEUTRAL_MOMENTUM,0.295
S4_CORRECTED_COMPOSITE,S6_ENSEMBLE_COMPOSITE_RANKER,0.631
S5_XGBRANKER,S7_SECTOR_NEUTRAL_COMPOSITE,0.199
S5_XGBRANKER,S8_SECTOR_NEUTRAL_MOMENTUM,0.222
S5_XGBRANKER,S6_ENSEMBLE_COMPOSITE_RANKER,0.521
S7_SECTOR_NEUTRAL_COMPOSITE,S8_SECTOR_NEUTRAL_MOMENTUM,0.626
S7_SECTOR_NEUTRAL_COMPOSITE,S6_ENSEMBLE_COMPOSITE_RANKER,0.311
S8_SECTOR_NEUTRAL_MOMENTUM,S6_ENSEMBLE_COMPOSITE_RANKER,0.287
