ticker,contribution,pct_of_total,sector
NVDA,0.37302213194849954,15.86,TECH
MSFT,0.22649883539530624,9.63,TECH
AMD,0.20311371412448387,8.64,TECH
AVGO,0.18120114218343542,7.7,TECH
XLK,0.13505608604676897,5.74,TECH
LLY,0.11532296566326133,4.9,HEALTH
META,0.11225888488866045,4.77,TECH
GOOGL,0.1111047882692865,4.72,TECH
AAPL,0.0967704176787472,4.11,TECH
QQQ,0.08069816832568907,3.43,TECH
AMZN,0.07800546773290874,3.32,TECH
XOM,0.07522164654398515,3.2,ENERGY
JPM,0.07108491449672158,3.02,FIN
WMT,0.06221245737269689,2.64,STAPLES
COST,0.057367107810926195,2.44,STAPLES
VLUE,0.051553921795004086,2.19,OTHER
GLD,0.02631375166259621,1.12,OTHER
XLF,0.02582906248940755,1.1,FIN
XLC,0.02339734876401358,0.99,COMM
BAC,0.023362872493638397,0.99,FIN
MTUM,0.02313020150831817,0.98,OTHER
XLI,0.022122691346884035,0.94,IND
SHY,0.01696774035139803,0.72,OTHER
XLU,0.011976781451580003,0.51,UTIL
IWM,0.010961010929953413,0.47,SMALL
SPY,0.010731767643643418,0.46,BROAD
UNH,0.00652652203849549,0.28,HEALTH
USMV,0.006219966932351478,0.26,OTHER
SCHD,0.005287022729050387,0.22,OTHER
SPLV,0.004381962361780225,0.19,OTHER
DIA,0.003460117181015907,0.15,BROAD
TLT,0.003340533110309565,0.14,OTHER
XLP,0.00018743068594307706,0.01,STAPLES
XLY,0.00014833323598707908,0.01,DISC
IEF,-0.00036212347483075,0.02,OTHER
QUAL,-0.003145774295371666,0.13,OTHER
XLV,-0.02429174091949575,1.03,HEALTH
CVX,-0.024570209964070513,1.04,ENERGY
XLE,-0.04498728803215028,1.91,ENERGY
