year,return,beats_spy,beats_qqq,beats_ew,beats_6040,strategy
2015,0.0,False,False,False,True,U1_COMPOSITE_TOP20
2016,0.3271560484432312,True,True,True,True,U1_COMPOSITE_TOP20
2017,0.23055135246390868,True,False,False,True,U1_COMPOSITE_TOP20
2018,-0.027504844601110023,True,False,False,True,U1_COMPOSITE_TOP20
2019,0.3242034374900016,True,False,False,True,U1_COMPOSITE_TOP20
2020,0.14827934141221544,False,False,False,False,U1_COMPOSITE_TOP20
2021,0.29524496903854325,False,True,False,True,U1_COMPOSITE_TOP20
2022,-0.12137483052952158,True,True,True,True,U1_COMPOSITE_TOP20
2023,0.33621520093286006,True,False,False,True,U1_COMPOSITE_TOP20
2024,0.254956894253475,False,False,False,True,U1_COMPOSITE_TOP20
2025,0.055450722343818315,False,False,False,False,U1_COMPOSITE_TOP20
2026,0.06519846980078703,False,False,False,True,U1_COMPOSITE_TOP20
2015,0.0,False,False,False,True,U2_COMPOSITE_TOP30_DIVERSIFIED
2016,0.3685163976394874,True,True,True,True,U2_COMPOSITE_TOP30_DIVERSIFIED
2017,0.23839852241386406,True,False,False,True,U2_COMPOSITE_TOP30_DIVERSIFIED
2018,-0.026722490067925597,True,False,False,True,U2_COMPOSITE_TOP30_DIVERSIFIED
2019,0.32333581356495533,True,False,False,True,U2_COMPOSITE_TOP30_DIVERSIFIED
2020,0.17516505351371014,True,False,False,True,U2_COMPOSITE_TOP30_DIVERSIFIED
2021,0.30093538867219194,False,True,False,True,U2_COMPOSITE_TOP30_DIVERSIFIED
2022,-0.12717490150322908,True,True,True,True,U2_COMPOSITE_TOP30_DIVERSIFIED
2023,0.3548596323831512,True,False,False,True,U2_COMPOSITE_TOP30_DIVERSIFIED
2024,0.2754708477326089,True,False,False,True,U2_COMPOSITE_TOP30_DIVERSIFIED
2025,0.06422649696180138,False,False,False,False,U2_COMPOSITE_TOP30_DIVERSIFIED
2026,0.06684323253207602,False,False,False,True,U2_COMPOSITE_TOP30_DIVERSIFIED
2015,0.0,False,False,False,True,U3_MOMENTUM_TREND_TOP20
2016,0.14820239933202584,True,True,False,True,U3_MOMENTUM_TREND_TOP20
2017,0.21565743410143168,True,False,False,True,U3_MOMENTUM_TREND_TOP20
2018,-0.07670498426539818,False,False,False,False,U3_MOMENTUM_TREND_TOP20
2019,0.20806380882099473,False,False,False,False,U3_MOMENTUM_TREND_TOP20
2020,0.1733746276727337,True,False,False,True,U3_MOMENTUM_TREND_TOP20
2021,0.306872002422514,True,True,False,True,U3_MOMENTUM_TREND_TOP20
2022,-0.07093026725090512,True,True,True,True,U3_MOMENTUM_TREND_TOP20
2023,0.19162501860663816,False,False,False,True,U3_MOMENTUM_TREND_TOP20
2024,0.21783472287988093,False,False,False,True,U3_MOMENTUM_TREND_TOP20
2025,0.07038662238083582,False,False,False,False,U3_MOMENTUM_TREND_TOP20
2026,0.10219104453735905,False,False,False,True,U3_MOMENTUM_TREND_TOP20
2015,0.0,False,False,False,True,U4_EVENT_MOMENTUM_FILTER
2016,0.1972369149244355,True,True,False,True,U4_EVENT_MOMENTUM_FILTER
2017,0.2298091029890148,True,False,False,True,U4_EVENT_MOMENTUM_FILTER
2018,-0.06426229964473562,False,False,False,False,U4_EVENT_MOMENTUM_FILTER
2019,0.1933824900628014,False,False,False,False,U4_EVENT_MOMENTUM_FILTER
2020,0.127803024007191,False,False,False,False,U4_EVENT_MOMENTUM_FILTER
2021,0.2493540623692878,False,False,False,True,U4_EVENT_MOMENTUM_FILTER
2022,0.041059305294692594,True,True,True,True,U4_EVENT_MOMENTUM_FILTER
2023,0.13144322050030222,False,False,False,False,U4_EVENT_MOMENTUM_FILTER
2024,0.25556204603598287,False,False,False,True,U4_EVENT_MOMENTUM_FILTER
2025,0.059271974215775014,False,False,False,False,U4_EVENT_MOMENTUM_FILTER
2026,0.037595690014571304,False,False,False,False,U4_EVENT_MOMENTUM_FILTER
2015,0.0,False,False,False,True,U5_LOW_VOL_MOMENTUM
2016,0.21290638775548687,True,True,False,True,U5_LOW_VOL_MOMENTUM
2017,0.23978894509162996,True,False,False,True,U5_LOW_VOL_MOMENTUM
2018,-0.028511934703815967,True,False,False,True,U5_LOW_VOL_MOMENTUM
2019,0.2846071778549564,False,False,False,True,U5_LOW_VOL_MOMENTUM
2020,0.22216704580699909,True,False,False,True,U5_LOW_VOL_MOMENTUM
2021,0.35146971722886056,True,True,False,True,U5_LOW_VOL_MOMENTUM
