model,period,signal_dates,mean_ic,median_ic,ic_std,ic_information_ratio,positive_ic_week_pct,positive_ic_year_count,evaluable_year_count,positive_ic_year_pct,top3_excess,corrected_quartile_spread,original_bucket_variable,original_diagnostic_status,PRED1,PRED2,PRED3,PRED4,PRED5,predictive_gate_status
B0_PRODUCTION_V14,MODEL_FULL_AVAILABLE,287,0.036760166613350645,0.05851795263559969,0.3247366486947005,0.11319993219462744,56.09756097560976,6,8,75.0,0.004007504553658085,0.0026659481801111595,TARGET_FORWARD_RANK,TARGET_LEAKAGE_IN_DIAGNOSTIC,,,,,,
M1_RIDGE_WEEKLY_RANK,MODEL_FULL_AVAILABLE,287,0.042000948954842,0.042857142857142844,0.34407877386596236,0.12206782906987365,56.44599303135889,6,8,75.0,0.002189062797766233,0.0025947212983215132,TARGET_FORWARD_RANK,TARGET_LEAKAGE_IN_DIAGNOSTIC,True,True,True,True,UNRESOLVED,UNRESOLVED
M1_RIDGE_WEEKLY_RANK,REUSED_TEST,118,0.05861875104423705,0.09806495720817972,0.3003531293105896,0.19516610723779237,62.71186440677966,2,3,66.66666666666666,0.003019634258025361,0.0023305359402548205,TARGET_FORWARD_RANK,TARGET_LEAKAGE_IN_DIAGNOSTIC,True,False,True,,UNRESOLVED,
M1_RIDGE_WEEKLY_RANK,MODEL_RESEARCH,169,0.030397986549228876,0.01818181818181818,0.3720075489497086,0.08171335940641988,52.071005917159766,4,5,80.0,0.0016091371627924046,0.0027791820808769556,TARGET_FORWARD_RANK,TARGET_LEAKAGE_IN_DIAGNOSTIC,True,True,True,,UNRESOLVED,
M2_LOGISTIC_TOP_QUARTILE,MODEL_FULL_AVAILABLE,287,0.06489993465078392,0.11222753423547525,0.3294620302438152,0.196987600066555,58.88501742160279,7,8,87.5,0.005340447995208663,0.004661777125584264,TARGET_FORWARD_RANK,TARGET_LEAKAGE_IN_DIAGNOSTIC,True,True,True,True,UNRESOLVED,UNRESOLVED
M2_LOGISTIC_TOP_QUARTILE,REUSED_TEST,118,0.06701450791371234,0.11738304517209183,0.28889497826758975,0.23196840705081406,62.71186440677966,3,3,100.0,0.005539106790092266,0.0038996255607557226,TARGET_FORWARD_RANK,TARGET_LEAKAGE_IN_DIAGNOSTIC,True,True,True,,UNRESOLVED,
M2_LOGISTIC_TOP_QUARTILE,MODEL_RESEARCH,169,0.06342348704708242,0.10581026370500055,0.3558874176540006,0.1782122207780432,56.213017751479285,4,5,80.0,0.005201739487538454,0.005193930289192358,TARGET_FORWARD_RANK,TARGET_LEAKAGE_IN_DIAGNOSTIC,True,True,True,,UNRESOLVED,
M3_HIST_GRADIENT_BOOSTING,MODEL_FULL_AVAILABLE,287,0.039697907382154035,0.0591834468007557,0.3097041829088637,0.12818008142252277,57.14285714285714,7,8,87.5,0.004022326562250501,0.0022146878219337167,TARGET_FORWARD_RANK,TARGET_LEAKAGE_IN_DIAGNOSTIC,True,False,True,True,UNRESOLVED,UNRESOLVED
M3_HIST_GRADIENT_BOOSTING,REUSED_TEST,118,0.04222692876942782,0.09484380454487269,0.2803022326406919,0.15064785025653654,59.32203389830508,3,3,100.0,0.0030958632919255865,0.0020945264521775872,TARGET_FORWARD_RANK,TARGET_LEAKAGE_IN_DIAGNOSTIC,True,False,True,,UNRESOLVED,
M3_HIST_GRADIENT_BOOSTING,MODEL_RESEARCH,169,0.03793208179814039,0.03524835912810955,0.32948621695124974,0.11512494255185417,55.62130177514793,4,5,80.0,0.004669206242122335,0.0022985874765563395,TARGET_FORWARD_RANK,TARGET_LEAKAGE_IN_DIAGNOSTIC,True,True,True,,UNRESOLVED,
